Marathon Digital Holdings PE Ratio Historical Data,Marathon Digital Holdings PE Ratio Historical Data,Marathon Digital Holdings PE Ratio Historical Data,Marathon Digital Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.5,,9.19
2024-12-31,16.77,$1.36,12.33
2024-09-30,16.22,$0.79,20.53
2024-06-30,19.85,$1.56,12.72
2024-03-31,22.58,$2.15,10.5
2023-12-31,23.49,$0.84,27.96
2023-09-30,8.5,$-2.97,0.0
2023-06-30,13.86,$-3.97,0.0
2023-03-31,8.72,$-5.59,0.0
2022-12-31,3.42,$-5.67,0.0
2022-09-30,10.71,$-2.43,0.0
2022-06-30,5.34,$-2.00,0.0
2022-03-31,27.95,$-1.34,0.0
2021-12-31,32.86,$-0.34,0.0
2021-09-30,31.58,$-0.54,0.0
2021-06-30,31.37,$-0.38,0.0
2021-03-31,48.02,$0.58,82.79
2020-12-31,10.44,$-0.41,0.0
2020-09-30,1.96,$-0.47,0.0
2020-06-30,0.91,$-0.53,0.0
2020-03-31,0.45,$-0.49,0.0
2019-12-31,0.88,$-0.53,0.0
2019-09-30,1.75,$-1.09,0.0
2019-06-30,2.89,$-1.21,0.0
2019-03-31,2.08,$-2.04,0.0
2018-12-31,1.45,$-2.52,0.0
2018-09-30,2.92,$-1.80,0.0
2018-06-30,3.68,$-5.80,0.0
2018-03-31,4.48,$-6.48,0.0
2017-12-31,16.4,$-8.88,0.0
2017-09-30,6.8,$-36.72,0.0
2017-06-30,6.05,$-39.20,0.0
2017-03-31,16.32,$-29.76,0.0
2016-12-31,27.52,$-30.88,0.0
2016-09-30,44.96,$-7.36,0.0
2016-06-30,43.84,$-4.80,0.0
2016-03-31,31.84,$-17.76,0.0
2015-12-31,25.6,$-19.04,0.0
2015-09-30,29.6,$-14.72,0.0
2015-06-30,46.4,$-7.04,0.0
2015-03-31,92.96,$-4.24,0.0
2014-12-31,134.72,$0.80,168.4
2014-09-30,115.12,$0.80,143.9
2014-06-30,88.8,$-4.16,0.0
2014-03-31,53.6,$-3.36,0.0
2013-12-31,50.4,$-4.32,0.0
2013-09-30,41.52,$-4.32,0.0
2013-06-30,36.4,$-2.88,0.0
2013-03-31,41.6,$-1.36,0.0
