Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.13,,7.92
2024-12-31,32.73,$4.56,7.18
2024-09-30,38.87,$5.39,7.21
2024-06-30,46.57,$5.51,8.45
2024-03-31,48.93,$5.24,9.34
2023-12-31,43.77,$5.83,7.51
2023-09-30,45.31,$5.85,7.75
2023-06-30,45.48,$7.31,6.22
2023-03-31,46.93,$9.17,5.12
2022-12-31,56.02,$9.12,6.14
2022-09-30,53.55,$9.52,5.63
2022-06-30,48.0,$7.88,6.09
2022-03-31,50.63,$5.33,9.5
2021-12-31,37.09,$4.17,8.89
2021-09-30,29.31,$1.67,17.55
2021-06-30,23.68,$0.18,131.57
2021-03-31,17.52,$-1.98,0.0
2020-12-31,12.53,$-7.12,0.0
2020-09-30,7.45,$-8.55,0.0
2020-06-30,8.63,$-8.03,0.0
2020-03-31,5.21,$-5.06,0.0
2019-12-31,19.35,$-0.98,0.0
2019-09-30,17.86,$3.20,5.58
2019-06-30,21.09,$8.07,2.61
2019-03-31,23.26,$6.05,3.84
2018-12-31,16.57,$6.41,2.58
2018-09-30,29.27,$4.28,6.84
2018-06-30,32.15,$-0.43,0.0
2018-03-31,23.21,$1.20,19.34
2017-12-31,30.17,$2.65,11.38
2017-09-30,26.71,$2.93,9.12
2017-06-30,23.22,$4.39,5.29
2017-03-31,30.24,$0.55,54.99
2016-12-31,33.06,$-6.96,0.0
2016-09-30,31.89,$-18.71,0.0
2016-06-30,26.17,$-29.24,0.0
2016-03-31,19.78,$-33.14,0.0
2015-12-31,22.84,$-35.58,0.0
2015-09-30,26.29,$-25.47,0.0
2015-06-30,41.9,$-14.36,0.0
2015-03-31,42.32,$-5.78,0.0
2014-12-31,42.77,$3.89,11.0
2014-09-30,47.44,$5.41,8.77
2014-06-30,55.06,$3.99,13.8
2014-03-31,46.26,$4.03,11.48
2013-12-31,42.62,$-0.06,0.0
2013-09-30,39.64,$-1.46,0.0
2013-06-30,35.47,$-4.31,0.0
2013-03-31,38.42,$-4.81,0.0
2012-12-31,35.31,$-0.54,0.0
2012-09-30,40.9,$1.60,25.56
2012-06-30,39.07,$5.90,6.62
2012-03-31,47.75,$11.20,4.26
2011-12-31,41.51,$11.20,3.71
2011-09-30,37.02,$11.24,3.29
2011-06-30,52.49,$13.53,3.88
2011-03-31,60.99,$8.63,7.07
2010-12-31,52.08,$10.32,5.05
2010-09-30,42.85,$10.52,4.07
2010-06-30,40.22,$6.85,5.87
2010-03-31,42.44,$5.97,7.11
2009-12-31,48.3,$-5.61,0.0
