ATN PE Ratio Historical Data,ATN PE Ratio Historical Data,ATN PE Ratio Historical Data,ATN PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.89,,0.0
2024-12-31,16.81,$-2.12,0.0
2024-09-30,32.34,$-2.72,0.0
2024-06-30,22.63,$-0.77,0.0
2024-03-31,30.95,$-1.30,0.0
2023-12-31,37.99,$-1.24,0.0
2023-09-30,30.58,$-0.96,0.0
2023-06-30,35.22,$-0.90,0.0
2023-03-31,39.16,$-0.98,0.0
2022-12-31,43.13,$-0.67,0.0
2022-09-30,36.55,$-2.02,0.0
2022-06-30,44.26,$-1.99,0.0
2022-03-31,37.33,$-1.75,0.0
2021-12-31,37.4,$-1.45,0.0
2021-09-30,43.67,$-1.21,0.0
2021-06-30,42.25,$-0.82,0.0
2021-03-31,45.45,$-0.65,0.0
2020-12-31,38.51,$-0.88,0.0
2020-09-30,46.05,$-0.20,0.0
2020-06-30,55.44,$-0.28,0.0
2020-03-31,53.58,$-0.63,0.0
2019-12-31,50.41,$-0.67,0.0
2019-09-30,52.96,$0.01,0.0
2019-06-30,52.23,$0.98,53.3
2019-03-31,50.87,$1.48,34.37
2018-12-31,64.33,$1.23,52.3
2018-09-30,66.29,$3.87,17.13
2018-06-30,47.24,$1.28,36.9
2018-03-31,53.2,$1.19,44.7
2017-12-31,49.17,$1.96,25.08
2017-09-30,46.75,$-0.61,0.0
2017-06-30,60.51,$1.36,44.49
2017-03-31,61.95,$0.81,76.49
2016-12-31,70.16,$0.77,91.12
2016-09-30,56.71,$0.89,63.72
2016-06-30,67.5,$0.86,78.49
2016-03-31,65.51,$1.64,39.94
2015-12-31,67.3,$1.05,64.09
2015-09-30,63.35,$1.58,40.09
2015-06-30,58.93,$2.18,27.03
2015-03-31,58.8,$2.31,25.46
2014-12-31,57.18,$3.01,19.0
2014-09-30,45.41,$3.35,13.55
2014-06-30,48.61,$19.77,2.46
2014-03-31,54.98,$19.61,2.8
2013-12-31,46.98,$19.68,2.39
2013-09-30,43.09,$19.39,2.22
2013-06-30,40.84,$2.98,13.7
2013-03-31,39.49,$3.09,12.78
2012-12-31,29.88,$3.13,9.55
2012-09-30,34.74,$2.56,13.57
2012-06-30,27.11,$2.27,11.94
2012-03-31,29.03,$1.72,16.88
2011-12-31,30.98,$1.41,21.97
2011-09-30,25.75,$1.35,19.08
2011-06-30,30.04,$1.03,29.17
2011-03-31,28.96,$2.51,11.54
2010-12-31,29.7,$2.48,11.97
2010-09-30,37.72,$2.61,14.45
2010-06-30,31.64,$2.98,10.62
2010-03-31,34.12,$2.01,16.97
2009-12-31,41.73,$2.33,17.91
