Inter PE Ratio Historical Data,Inter PE Ratio Historical Data,Inter PE Ratio Historical Data,Inter PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.86,,16.74
2024-09-30,6.66,$0.35,19.03
2024-06-30,6.15,$0.30,20.5
2024-03-31,5.71,$0.23,24.83
2023-12-31,5.56,$0.15,37.07
2023-09-30,4.0,$0.09,44.44
2023-06-30,3.13,$0.03,104.33
2023-03-31,1.7,$0.02,85.0
