Ames National PE Ratio Historical Data,Ames National PE Ratio Historical Data,Ames National PE Ratio Historical Data,Ames National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.85,,23.8
2024-12-31,16.43,$0.75,21.91
2024-09-30,18.02,$0.99,18.2
2024-06-30,19.98,$1.07,18.67
2024-03-31,19.4,$1.11,17.48
2023-12-31,20.26,$1.21,16.74
2023-09-30,15.5,$1.46,10.62
2023-06-30,16.62,$1.75,9.5
2023-03-31,18.9,$1.93,9.79
2022-12-31,21.22,$2.14,9.92
2022-09-30,19.69,$2.23,8.83
2022-06-30,19.46,$2.35,8.28
2022-03-31,21.56,$2.53,8.52
2021-12-31,21.02,$2.62,8.02
2021-09-30,19.68,$2.61,7.54
2021-06-30,20.59,$2.49,8.27
2021-03-31,21.27,$2.34,9.09
2020-12-31,19.75,$2.07,9.54
2020-09-30,13.71,$1.97,6.96
2020-06-30,15.81,$1.79,8.83
2020-03-31,16.19,$1.80,8.99
2019-12-31,22.02,$1.87,11.77
2019-09-30,22.26,$1.85,12.03
2019-06-30,20.9,$1.89,11.06
2019-03-31,20.96,$1.85,11.33
2018-12-31,19.26,$1.82,10.58
2018-09-30,20.48,$1.66,12.34
2018-06-30,23.01,$1.60,14.38
2018-03-31,20.16,$1.51,13.35
2017-12-31,20.26,$1.47,13.78
2017-09-30,21.56,$1.61,13.39
2017-06-30,21.94,$1.60,13.71
2017-03-31,21.79,$1.67,13.05
2016-12-31,23.34,$1.69,13.81
2016-09-30,19.42,$1.68,11.56
2016-06-30,18.68,$1.71,10.93
2016-03-31,17.11,$1.63,10.5
2015-12-31,16.64,$1.61,10.34
2015-09-30,15.59,$1.53,10.19
2015-06-30,16.93,$1.49,11.36
2015-03-31,16.63,$1.54,10.8
2014-12-31,17.23,$1.64,10.5
2014-09-30,14.73,$1.66,8.88
2014-06-30,15.13,$1.66,9.12
2014-03-31,14.3,$1.60,8.94
2013-12-31,14.42,$1.50,9.61
2013-09-30,14.33,$1.51,9.49
2013-06-30,14.45,$1.52,9.51
2013-03-31,13.14,$1.53,8.59
2012-12-31,13.7,$1.52,9.01
2012-09-30,12.94,$1.54,8.4
2012-06-30,14.18,$1.51,9.39
2012-03-31,14.58,$1.49,9.79
2011-12-31,11.87,$1.48,8.02
2011-09-30,9.45,$1.41,6.7
2011-06-30,10.9,$1.41,7.73
2011-03-31,11.38,$1.40,8.13
2010-12-31,12.84,$1.38,9.3
2010-09-30,11.74,$1.23,9.55
2010-06-30,11.44,$1.12,10.22
2010-03-31,11.68,$1.05,11.12
2009-12-31,12.23,$0.96,12.73
