KKR Real Estate Finance Trust PE Ratio Historical Data,KKR Real Estate Finance Trust PE Ratio Historical Data,KKR Real Estate Finance Trust PE Ratio Historical Data,KKR Real Estate Finance Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.3,,62.78
2024-12-31,10.1,$0.18,56.11
2024-09-30,12.35,$-0.30,0.0
2024-06-30,8.87,$0.20,44.35
2024-03-31,9.6,$-0.46,0.0
2023-12-31,12.31,$-0.78,0.0
2023-09-30,10.7,$-0.30,0.0
2023-06-30,10.59,$-1.31,0.0
2023-03-31,9.57,$-0.66,0.0
2022-12-31,11.29,$0.25,45.17
2022-09-30,12.75,$0.63,20.23
2022-06-30,13.33,$1.90,7.02
2022-03-31,15.37,$2.14,7.18
2021-12-31,15.21,$2.20,6.92
2021-09-30,15.1,$2.13,7.09
2021-06-30,15.17,$2.12,7.16
2021-03-31,12.65,$2.12,5.97
2020-12-31,12.05,$0.99,12.17
2020-09-30,10.85,$0.90,12.06
2020-06-30,10.61,$0.75,14.14
2020-03-31,9.36,$0.53,17.66
2019-12-31,12.37,$1.57,7.88
2019-09-30,11.59,$1.48,7.83
2019-06-30,11.56,$1.44,8.03
2019-03-31,11.38,$1.58,7.2
2018-12-31,10.65,$1.59,6.7
2018-09-30,10.97,$1.57,6.99
2018-06-30,10.53,$1.52,6.93
2018-03-31,10.46,$1.38,7.58
