Canadian Solar PE Ratio Historical Data,Canadian Solar PE Ratio Historical Data,Canadian Solar PE Ratio Historical Data,Canadian Solar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.15,,0.0
2024-09-30,16.76,$-0.12,0.0
2024-06-30,14.75,$0.51,28.92
2024-03-31,19.76,$2.88,6.86
2023-12-31,26.23,$3.88,6.76
2023-09-30,24.61,$5.01,4.91
2023-06-30,38.69,$5.81,6.66
2023-03-31,39.81,$4.49,8.87
2022-12-31,30.9,$3.44,8.98
2022-09-30,37.25,$2.72,13.69
2022-06-30,31.14,$2.12,14.69
2022-03-31,35.36,$1.23,28.75
2021-12-31,31.29,$1.45,21.58
2021-09-30,34.59,$1.17,29.56
2021-06-30,44.84,$0.80,56.05
2021-03-31,49.63,$0.96,51.7
2020-12-31,51.24,$2.44,21.0
2020-09-30,35.1,$3.45,10.17
2020-06-30,19.27,$4.26,4.52
2020-03-31,15.91,$4.96,3.21
2019-12-31,22.1,$2.83,7.81
2019-09-30,18.88,$3.52,5.36
2019-06-30,21.83,$3.65,5.98
2019-03-31,18.63,$2.87,6.49
2018-12-31,14.34,$3.88,3.7
2018-09-30,14.5,$3.08,4.71
2018-06-30,12.24,$2.21,5.54
2018-03-31,16.27,$2.58,6.31
2017-12-31,16.86,$1.63,10.34
2017-09-30,16.84,$0.39,43.18
2017-06-30,15.92,$0.44,36.18
2017-03-31,12.27,$0.49,25.04
2016-12-31,12.18,$1.11,10.97
2016-09-30,13.74,$2.39,5.75
2016-06-30,15.12,$2.65,5.71
2016-03-31,19.28,$2.28,8.46
2015-12-31,28.96,$2.93,9.88
2015-09-30,16.63,$3.63,4.58
2015-06-30,28.6,$4.05,7.06
2015-03-31,33.39,$4.13,8.08
2014-09-30,35.77,$3.65,9.8
2014-06-30,31.26,$1.61,19.42
2013-12-31,29.82,$0.56,53.25
2013-09-30,16.99,$-2.26,0.0
2013-06-30,10.99,$-3.83,0.0
2013-03-31,3.46,$-4.13,0.0
2012-12-31,3.4,$-4.52,0.0
2012-09-30,2.79,$-3.48,0.0
2012-06-30,3.6,$-3.49,0.0
2012-03-31,3.18,$-2.74,0.0
2011-12-31,2.66,$-2.12,0.0
2011-09-30,3.68,$-0.15,0.0
2011-06-30,11.5,$1.34,8.58
2011-03-31,11.28,$1.25,9.02
2010-12-31,12.39,$1.15,10.77
2010-09-30,16.3,$0.92,17.72
2010-06-30,9.78,$1.14,8.58
2010-03-31,24.32,$1.56,15.59
2009-12-31,28.82,$1.40,20.59
