Ecovyst PE Ratio Historical Data,Ecovyst PE Ratio Historical Data,Ecovyst PE Ratio Historical Data,Ecovyst PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.58,,0.0
2024-12-31,7.64,$-0.06,0.0
2024-09-30,6.85,$0.46,14.89
2024-06-30,8.97,$0.48,18.69
2024-03-31,11.15,$0.63,17.7
2023-12-31,9.77,$0.61,16.02
2023-09-30,9.84,$0.55,17.89
2023-06-30,11.46,$0.57,20.11
2023-03-31,11.05,$0.49,22.55
2022-12-31,8.86,$0.56,15.82
2022-09-30,8.44,$0.42,20.1
2022-06-30,9.85,$-0.26,0.0
2022-03-31,11.56,$-0.41,0.0
2021-12-31,10.24,$-0.49,0.0
2021-09-30,11.66,$-2.15,0.0
2021-06-30,12.37,$-1.57,0.0
2021-03-31,13.45,$-1.44,0.0
2020-12-31,11.49,$-1.42,0.0
2020-09-30,7.27,$0.32,22.71
2020-06-30,9.38,$0.46,20.38
2020-03-31,7.72,$0.57,13.54
2019-12-31,12.17,$0.59,20.62
2019-09-30,11.29,$0.66,17.1
2019-06-30,11.23,$0.57,19.69
2019-03-31,10.74,$0.46,23.36
2018-12-31,10.49,$0.44,23.84
2018-09-30,12.37,$0.72,17.18
2018-06-30,12.75,$0.58,21.98
