Berkshire Hills Bancorp PE Ratio Historical Data,Berkshire Hills Bancorp PE Ratio Historical Data,Berkshire Hills Bancorp PE Ratio Historical Data,Berkshire Hills Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.25,,18.23
2024-12-31,28.43,$1.44,19.74
2024-09-30,26.77,$0.95,28.18
2024-06-30,22.52,$0.52,43.3
2024-03-31,22.45,$0.50,44.89
2023-12-31,24.12,$1.60,15.08
2023-09-30,19.32,$2.32,8.33
2023-06-30,19.81,$2.29,8.65
2023-03-31,23.74,$2.24,10.6
2022-12-31,28.16,$2.03,13.87
2022-09-30,25.56,$1.76,14.52
2022-06-30,23.09,$2.65,8.71
2022-03-31,26.88,$2.58,10.42
2021-12-31,26.27,$2.42,10.86
2021-09-30,24.83,$2.30,10.79
2021-06-30,25.11,$1.41,17.81
2021-03-31,20.35,$-9.95,0.0
2020-12-31,15.53,$-10.61,0.0
2020-09-30,9.11,$-10.40,0.0
2020-06-30,9.81,$-10.38,0.0
2020-03-31,12.92,$1.07,12.07
2019-12-31,28.34,$1.98,14.31
2019-09-30,25.07,$1.78,14.08
2019-06-30,26.66,$2.04,13.07
2019-03-31,23.13,$2.26,10.24
2018-12-31,22.72,$2.30,9.88
2018-09-30,34.07,$1.93,17.65
2018-06-30,33.81,$1.80,18.78
2018-03-31,31.42,$1.59,19.76
2017-12-31,30.13,$1.48,20.36
2017-09-30,31.72,$1.86,17.05
2017-06-30,28.6,$1.82,15.72
2017-03-31,29.17,$1.81,16.12
2016-12-31,29.64,$1.89,15.68
2016-09-30,22.14,$2.09,10.59
2016-06-30,21.35,$2.05,10.41
2016-03-31,21.16,$1.88,11.26
2015-12-31,22.73,$1.71,13.29
2015-09-30,21.37,$1.65,12.95
2015-06-30,21.96,$1.64,13.39
2015-03-31,21.21,$1.75,12.12
2014-12-31,20.27,$1.36,14.9
2014-09-30,17.73,$1.32,13.43
2014-06-30,17.4,$1.17,14.87
2014-03-31,19.24,$1.19,16.17
2013-12-31,20.13,$1.65,12.2
2013-09-30,18.4,$1.61,11.43
2013-06-30,20.2,$1.74,11.61
2013-03-31,18.46,$1.63,11.33
2012-12-31,17.12,$1.49,11.49
2012-09-30,16.29,$1.51,10.79
2012-06-30,15.55,$1.27,12.24
2012-03-31,16.08,$1.01,15.92
2011-12-31,15.45,$0.93,16.61
2011-09-30,12.75,$0.79,16.13
2011-06-30,15.34,$0.82,18.7
2011-03-31,14.16,$0.96,14.75
2010-12-31,14.92,$1.00,14.92
2010-09-30,12.7,$-1.01,0.0
2010-06-30,12.94,$-1.12,0.0
2010-03-31,12.08,$-1.45,0.0
2009-12-31,13.51,$-1.42,0.0
