Cyclacel Pharmaceuticals PE Ratio Historical Data,Cyclacel Pharmaceuticals PE Ratio Historical Data,Cyclacel Pharmaceuticals PE Ratio Historical Data,Cyclacel Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.3,,0.0
2024-09-30,0.99,$-9.40,0.0
2024-06-30,1.62,$-16.57,0.0
2024-03-31,2.11,$-22.44,0.0
2023-12-31,2.67,$-27.22,0.0
2023-09-30,5.32,$-29.99,0.0
2023-06-30,8.84,$-28.94,0.0
2023-03-31,8.56,$-29.24,0.0
2022-12-31,10.01,$-28.49,0.0
2022-09-30,21.9,$-27.59,0.0
2022-06-30,16.2,$-29.39,0.0
2022-03-31,45.75,$-30.88,0.0
2021-12-31,58.35,$-32.08,0.0
2021-09-30,79.05,$-44.08,0.0
2021-06-30,88.8,$-43.03,0.0
2021-03-31,106.65,$-43.33,0.0
2020-12-31,117.15,$-58.02,0.0
2020-09-30,54.75,$-79.91,0.0
2020-06-30,69.75,$-105.85,0.0
2020-03-31,115.71,$-145.13,0.0
2019-12-31,201.0,$-167.92,0.0
2019-09-30,118.95,$-176.91,0.0
2019-06-30,162.15,$-197.90,0.0
2019-03-31,280.5,$-197.90,0.0
2018-12-31,181.5,$-188.91,0.0
2018-09-30,411.0,$-137.93,0.0
2018-06-30,426.0,$-356.82,0.0
2018-03-31,405.0,$-458.77,0.0
2017-12-31,522.0,$-536.73,0.0
2017-09-30,549.0,$-743.63,0.0
2017-06-30,1131.0,$-728.64,0.0
2017-03-31,1104.0,$-881.56,0.0
2016-12-31,1587.0,"$-1,451.55",0.0
2016-09-30,1800.0,"$-1,604.62",0.0
2016-06-30,1506.0,"$-1,634.72",0.0
2016-03-31,1386.0,"$-1,691.83",0.0
2015-12-31,1800.0,"$-1,691.83",0.0
2015-09-30,1819.8,"$-2,087.79",0.0
2015-06-30,2880.0,"$-2,591.74",0.0
2015-03-31,3240.0,"$-3,023.70",0.0
2014-12-31,2519.64,"$-3,239.68",0.0
2014-09-30,10944.0,"$-3,167.68",0.0
2014-06-30,11052.0,"$-3,527.65",0.0
2014-03-31,13248.0,"$-2,375.76",0.0
2013-12-31,14472.0,"$-5,723.43",0.0
2013-09-30,15336.0,"$-7,163.29",0.0
2013-06-30,10620.0,"$-6,911.31",0.0
2013-03-31,20124.0,"$-8,782.67",0.0
2012-12-31,21816.0,"$-6,046.49",0.0
2012-09-30,16776.0,"$-5,686.00",0.0
2012-06-30,11592.0,"$-6,549.38",0.0
2012-03-31,18144.0,"$-7,053.18",0.0
2011-12-31,14868.0,"$-8,060.78",0.0
2011-09-30,11088.0,"$-8,060.78",0.0
2011-06-30,34272.0,"$-9,068.37",0.0
2011-03-31,36036.0,"$-11,587.37",0.0
2010-12-31,37044.0,"$-13,602.56",0.0
2010-09-30,43344.0,"$-16,373.45",0.0
2010-06-30,43344.0,"$-16,877.25",0.0
2010-03-31,54180.0,"$-20,907.64",0.0
2009-12-31,26208.0,"$-22,670.94",0.0
