Siebert Financial PE Ratio Historical Data,Siebert Financial PE Ratio Historical Data,Siebert Financial PE Ratio Historical Data,Siebert Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.64,,10.15
2024-09-30,2.53,$0.26,9.73
2024-06-30,1.74,$0.23,7.57
2024-03-31,2.11,$0.20,10.55
2023-12-31,1.68,$0.21,8.0
2023-09-30,1.95,$0.16,12.19
2023-06-30,2.48,$0.12,20.67
2023-03-31,1.91,$0.07,27.29
2022-12-31,1.36,$-0.07,0.0
2022-09-30,1.48,$0.02,74.0
2022-06-30,1.55,$0.02,77.5
2022-03-31,2.16,$0.05,43.2
2021-12-31,2.32,$0.16,14.5
2021-09-30,3.35,$0.18,18.61
2021-06-30,4.81,$0.17,28.29
2021-03-31,4.05,$0.14,28.93
2020-12-31,4.2,$0.10,42.0
2020-09-30,3.23,$0.09,35.89
2020-06-30,5.06,$0.11,46.0
2020-03-31,7.22,$0.13,55.54
2019-12-31,8.65,$0.14,61.79
2019-09-30,9.2,$0.32,28.75
2019-06-30,9.0,$0.39,23.08
2019-03-31,11.81,$0.42,28.12
2018-12-31,14.46,$0.44,32.86
2018-09-30,14.65,$0.24,61.04
2018-06-30,10.42,$0.18,57.89
2018-03-31,8.43,$0.13,64.85
2017-12-31,13.5,$0.07,192.86
2017-09-30,3.9,$-0.08,0.0
2017-06-30,3.94,$-0.18,0.0
2017-03-31,3.61,$-0.23,0.0
2016-12-31,2.98,$-0.25,0.0
2016-09-30,1.19,$-0.11,0.0
2016-06-30,1.03,$-0.09,0.0
2016-03-31,1.12,$-0.08,0.0
2015-12-31,1.11,$-0.13,0.0
2015-09-30,1.35,$-0.08,0.0
2015-06-30,1.55,$-0.12,0.0
2015-03-31,1.49,$-0.38,0.0
2014-12-31,1.9,$-0.31,0.0
2014-09-30,1.86,$-0.42,0.0
2014-06-30,2.41,$-0.42,0.0
2014-03-31,2.66,$-0.20,0.0
2013-12-31,1.39,$-0.26,0.0
2013-09-30,1.44,$-0.21,0.0
2013-06-30,1.31,$-0.14,0.0
2013-03-31,1.28,$-0.06,0.0
2012-12-31,1.44,$0.03,47.99
2012-09-30,1.25,$0.01,0.0
2012-06-30,1.45,$-0.02,0.0
2012-03-31,1.41,$-0.12,0.0
2011-12-31,1.23,$-0.24,0.0
2011-09-30,1.43,$-0.14,0.0
2011-06-30,1.57,$-0.27,0.0
2011-03-31,1.55,$-0.15,0.0
2010-12-31,1.48,$-0.11,0.0
2010-09-30,1.38,$-0.22,0.0
2010-06-30,1.86,$-0.08,0.0
2010-03-31,2.03,$-0.09,0.0
2009-12-31,1.99,$-0.05,0.0
