Houston American Energy PE Ratio Historical Data,Houston American Energy PE Ratio Historical Data,Houston American Energy PE Ratio Historical Data,Houston American Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.08,,0.0
2024-12-31,1.29,$-0.73,0.0
2024-09-30,1.1,$-0.32,0.0
2024-06-30,1.29,$-0.29,0.0
2024-03-31,1.33,$-0.31,0.0
2023-12-31,1.79,$-0.30,0.0
2023-09-30,1.95,$-0.01,0.0
2023-06-30,2.13,$-0.07,0.0
2023-03-31,2.59,$-0.04,0.0
2022-12-31,3.44,$-0.07,0.0
2022-09-30,3.46,$-0.10,0.0
2022-06-30,4.59,$-0.10,0.0
2022-03-31,4.44,$-0.10,0.0
2021-12-31,1.43,$-0.11,0.0
2021-09-30,2.28,$-0.36,0.0
2021-06-30,2.48,$-0.37,0.0
2021-03-31,2.02,$-0.43,0.0
2020-12-31,1.75,$-0.53,0.0
2020-09-30,1.94,$-0.49,0.0
2020-06-30,1.75,$-0.56,0.0
2020-03-31,1.49,$-0.63,0.0
2019-12-31,1.83,$-0.50,0.0
2019-09-30,2.26,$-0.25,0.0
2019-06-30,2.54,$-0.13,0.0
2019-03-31,2.74,0,0.0
2018-12-31,2.37,0,0.0
2018-09-30,2.75,0,0.0
2018-06-30,3.8,$-0.13,0.0
2018-03-31,3.91,$-0.25,0.0
2017-12-31,4.13,$-0.38,0.0
2017-09-30,6.25,$-0.88,0.0
2017-06-30,9.38,$-0.88,0.0
2017-03-31,3.38,$-0.88,0.0
2016-12-31,2.23,$-0.88,0.0
2016-09-30,2.44,$-0.88,0.0
2016-06-30,2.78,$-0.88,0.0
2016-03-31,2.63,$-0.88,0.0
2015-12-31,2.14,$-1.00,0.0
2015-09-30,2.21,$-1.00,0.0
2015-06-30,2.5,$-1.00,0.0
2015-03-31,2.5,$-1.00,0.0
2014-12-31,2.01,$-0.88,0.0
2014-09-30,3.81,$-0.50,0.0
2014-06-30,5.75,$-0.50,0.0
2014-03-31,6.88,$-0.63,0.0
2013-12-31,3.13,$-0.75,0.0
2013-09-30,3.63,$-0.63,0.0
2013-06-30,3.38,$-2.50,0.0
2013-03-31,2.74,$-10.13,0.0
2012-12-31,2.75,$-18.13,0.0
2012-09-30,11.25,$-18.38,0.0
2012-06-30,14.0,$-16.75,0.0
2012-03-31,65.25,$-9.50,0.0
2011-12-31,152.38,$-1.75,0.0
2011-09-30,172.0,$5.50,31.27
2011-06-30,226.63,$6.38,35.55
2011-03-31,192.63,$7.38,26.12
2010-12-31,226.13,$8.25,27.41
2010-09-30,123.47,$1.25,98.78
2010-06-30,121.67,$1.00,121.67
2010-03-31,223.86,$0.63,358.18
2009-12-31,75.95,$-0.38,0.0
