XChange TEC.INC PE Ratio Historical Data,XChange TEC.INC PE Ratio Historical Data,XChange TEC.INC PE Ratio Historical Data,XChange TEC.INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.84,,inf
2024-09-30,5.81,0.0,0.0
2024-03-31,14.64,0.0,0.0
2023-09-30,1.8,0.0,0.0
2023-03-31,5.85,0.0,0.0
2022-09-30,14.77,0.0,0.0
2022-03-31,11.92,0.0,0.0
