BankFinancial PE Ratio Historical Data,BankFinancial PE Ratio Historical Data,BankFinancial PE Ratio Historical Data,BankFinancial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.06,,20.41
2024-09-30,12.08,$0.64,18.88
2024-06-30,10.12,$0.67,15.1
2024-03-31,10.23,$0.68,15.04
2023-12-31,9.9,$0.75,13.2
2023-09-30,8.22,$0.85,9.67
2023-06-30,7.71,$0.91,8.47
2023-03-31,8.14,$0.92,8.84
2022-12-31,9.7,$0.81,11.97
2022-09-30,8.63,$0.72,11.98
2022-06-30,8.48,$0.59,14.37
2022-03-31,9.26,$0.53,17.47
2021-12-31,9.45,$0.53,17.83
2021-09-30,10.08,$0.52,19.38
2021-06-30,9.95,$0.53,18.78
2021-03-31,8.9,$0.56,15.88
2020-12-31,7.49,$0.62,12.08
2020-09-30,6.08,$0.67,9.08
2020-06-30,6.99,$0.80,8.74
2020-03-31,7.24,$0.69,10.49
2019-12-31,10.66,$0.75,14.21
2019-09-30,9.63,$0.97,9.92
2019-06-30,11.23,$0.93,12.07
2019-03-31,11.85,$1.14,10.4
2018-12-31,11.84,$1.12,10.57
2018-09-30,12.54,$0.74,16.94
2018-06-30,13.79,$0.72,19.15
2018-03-31,13.2,$0.60,22.0
2017-12-31,11.86,$0.50,23.73
2017-09-30,12.22,$0.56,21.83
2017-06-30,11.43,$0.49,23.32
2017-03-31,11.07,$0.39,28.38
2016-12-31,11.25,$0.39,28.84
2016-09-30,9.6,$0.38,25.25
2016-06-30,9.02,$0.37,24.38
2016-03-31,8.86,$0.44,20.13
2015-12-31,9.43,$0.44,21.42
2015-09-30,9.25,$2.05,4.51
2015-06-30,8.71,$2.10,4.15
2015-03-31,9.68,$2.06,4.7
2014-12-31,8.71,$2.01,4.33
2014-09-30,7.6,$0.36,21.11
2014-06-30,8.14,$0.24,33.92
2014-03-31,7.27,$0.17,42.78
2013-12-31,6.67,$0.15,44.5
2013-09-30,6.43,$-1.17,0.0
2013-06-30,6.18,$-1.48,0.0
2013-03-31,5.87,$-1.44,0.0
2012-12-31,5.38,$-1.35,0.0
2012-09-30,6.38,$-2.48,0.0
2012-06-30,5.46,$-2.32,0.0
2012-03-31,4.78,$-2.31,0.0
2011-12-31,3.99,$-2.47,0.0
2011-09-30,4.79,$-0.37,0.0
2011-06-30,6.05,$-0.23,0.0
2011-03-31,6.51,$-0.29,0.0
2010-12-31,6.86,$-0.21,0.0
2010-09-30,6.4,$-0.01,0.0
2010-06-30,5.76,$0.02,287.92
2010-03-31,6.31,$0.00,0.0
2009-12-31,6.76,$-0.03,0.0
