Lendway PE Ratio Historical Data,Lendway PE Ratio Historical Data,Lendway PE Ratio Historical Data,Lendway PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.81,,0.0
2024-09-30,3.56,$-1.98,0.0
2024-06-30,4.75,$-0.71,0.0
2024-03-31,5.96,$-0.31,0.0
2023-12-31,4.61,$1.33,3.47
2023-09-30,5.35,$1.11,4.82
2023-06-30,7.72,$7.05,1.1
2023-03-31,7.31,$6.46,1.13
2022-12-31,7.81,$5.58,1.4
2022-09-30,6.12,$5.43,1.13
2022-06-30,7.65,$-1.66,0.0
2022-03-31,11.32,$-1.56,0.0
2021-12-31,23.08,$-1.97,0.0
2021-09-30,7.49,$-1.91,0.0
2021-06-30,8.29,$-1.88,0.0
2021-03-31,5.87,$-2.42,0.0
2020-12-31,5.88,$-2.53,0.0
2020-09-30,4.66,$-3.50,0.0
2020-06-30,5.0,$-3.57,0.0
2020-03-31,5.18,$-2.80,0.0
2019-12-31,5.11,$-2.94,0.0
2019-09-30,6.86,$-1.19,0.0
2019-06-30,7.98,$-0.28,0.0
2019-03-31,9.31,$0.14,66.5
2018-12-31,10.43,$0.84,12.42
2018-09-30,12.11,$0.91,13.31
2018-06-30,11.41,$0.84,13.59
2018-03-31,11.06,$0.35,31.61
2017-12-31,8.33,$-0.42,0.0
2017-09-30,7.56,$-1.19,0.0
2017-06-30,7.16,$-1.54,0.0
2017-03-31,10.43,$-1.26,0.0
2016-12-31,12.24,$-0.77,0.0
2016-09-30,11.94,$-0.00,0.0
2016-06-30,10.94,$0.42,26.04
2016-03-31,14.3,$0.63,22.7
2015-12-31,14.4,$0.91,15.82
2015-09-30,12.69,$0.35,36.26
2015-06-30,13.69,$0.21,65.21
2015-03-31,15.05,$0.14,107.49
2014-12-31,17.96,$0.14,128.27
2014-09-30,15.4,$0.56,27.51
2014-06-30,16.35,$0.56,29.21
2014-03-31,15.15,$0.56,27.06
2013-12-31,13.69,$0.70,19.57
2013-09-30,13.4,$0.56,23.94
2013-06-30,10.99,$0.56,19.62
2013-03-31,10.23,$0.21,48.75
2012-12-31,8.58,$-0.84,0.0
2012-09-30,8.63,$-1.12,0.0
2012-06-30,9.38,$-2.10,0.0
2012-03-31,9.08,$-2.10,0.0
2011-12-31,10.08,$20.92,0.48
2011-09-30,11.84,$23.79,0.5
2011-06-30,18.76,$24.91,0.75
2011-03-31,25.88,$25.47,1.02
2010-12-31,18.57,$3.08,6.03
2010-09-30,19.61,$0.98,20.01
2010-06-30,14.83,$1.05,14.12
2010-03-31,18.56,$0.84,22.1
2009-12-31,13.52,$1.68,8.05
