Comfort Systems USA PE Ratio Historical Data,Comfort Systems USA PE Ratio Historical Data,Comfort Systems USA PE Ratio Historical Data,Comfort Systems USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,356.79,,24.42
2024-12-31,424.06,$14.61,29.03
2024-09-30,390.04,$13.07,29.84
2024-06-30,303.59,$11.91,25.49
2024-03-31,316.88,$10.10,31.37
2023-12-31,204.97,$9.00,22.77
2023-09-30,169.62,$7.99,21.23
2023-06-30,163.23,$6.77,24.11
2023-03-31,144.91,$6.01,24.11
2022-12-31,114.11,$6.82,16.73
2022-09-30,96.39,$6.32,15.25
2022-06-30,82.24,$5.88,13.99
2022-03-31,87.89,$5.61,15.67
2021-12-31,97.56,$3.94,24.76
2021-09-30,70.23,$4.07,17.26
2021-06-30,77.46,$4.16,18.62
2021-03-31,73.41,$4.34,16.91
2020-12-31,51.62,$4.09,12.62
2020-09-30,50.38,$3.84,13.12
2020-06-30,39.77,$3.46,11.5
2020-03-31,35.55,$3.03,11.73
2019-12-31,48.36,$3.08,15.7
2019-09-30,42.83,$2.83,15.13
2019-06-30,49.25,$2.87,17.16
2019-03-31,50.5,$3.09,16.34
2018-12-31,42.03,$3.00,14.01
2018-09-30,54.19,$2.53,21.42
2018-06-30,43.93,$2.10,20.92
2018-03-31,39.5,$1.71,23.1
2017-12-31,41.72,$1.47,28.38
2017-09-30,34.06,$1.72,19.8
2017-06-30,35.32,$1.67,21.15
2017-03-31,34.82,$1.66,20.97
2016-12-31,31.57,$1.72,18.36
2016-09-30,27.72,$1.62,17.11
2016-06-30,30.73,$1.54,19.95
2016-03-31,29.91,$1.42,21.06
2015-12-31,26.7,$1.29,20.69
2015-09-30,25.55,$1.23,20.78
2015-06-30,21.46,$0.97,22.13
2015-03-31,19.62,$0.74,26.52
2014-12-31,15.92,$0.62,25.67
2014-09-30,12.55,$0.48,26.14
2014-06-30,14.58,$0.58,25.13
2014-03-31,14.01,$0.67,20.91
2013-12-31,17.77,$0.73,24.34
2013-09-30,15.36,$0.70,21.94
2013-06-30,13.59,$0.55,24.7
2013-03-31,12.78,$0.46,27.79
2012-12-31,10.99,$0.36,30.52
2012-09-30,9.83,$0.29,33.89
2012-06-30,8.97,$-0.84,0.0
2012-03-31,9.71,$-0.88,0.0
2011-12-31,9.5,$-0.99,0.0
2011-09-30,7.33,$-0.89,0.0
2011-06-30,9.3,$0.23,40.43
2011-03-31,12.27,$0.19,64.59
2010-12-31,11.45,$0.38,30.12
2010-09-30,9.28,$0.43,21.59
2010-06-30,8.32,$0.54,15.41
2010-03-31,10.71,$0.76,14.09
2009-12-31,10.53,$0.89,11.83
