Northern Technologies PE Ratio Historical Data,Northern Technologies PE Ratio Historical Data,Northern Technologies PE Ratio Historical Data,Northern Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.12,,21.38
2024-11-30,13.92,$0.52,26.77
2024-08-31,13.07,$0.55,23.76
2024-05-31,18.22,$0.46,39.62
2024-02-29,12.46,$0.52,23.95
2023-11-30,10.63,$0.44,24.17
2023-08-31,12.57,$0.40,31.43
2023-05-31,10.95,$0.37,29.6
2023-02-28,12.52,$0.32,39.14
2022-11-30,12.46,$0.25,49.82
2022-08-31,11.22,$0.66,17.0
2022-05-31,10.95,$0.76,14.41
2022-02-28,12.04,$0.86,14.01
2021-11-30,14.13,$0.97,14.57
2021-08-31,15.54,$0.64,24.27
2021-05-31,15.31,$0.28,54.67
2021-02-28,14.99,$-0.04,0.0
2020-11-30,8.62,$-0.15,0.0
2020-08-31,7.65,$-0.15,0.0
2020-05-31,6.82,$0.13,52.46
2020-02-29,10.55,$0.40,26.37
2019-11-30,11.1,$0.53,20.94
2019-08-31,9.98,$0.56,17.82
2019-05-31,11.32,$0.70,16.28
2019-02-28,14.09,$0.77,18.42
2018-11-30,15.02,$0.76,19.76
2018-08-31,16.31,$0.72,22.66
2018-05-31,14.1,$0.65,21.86
2018-02-28,9.91,$0.57,17.54
2017-11-30,8.8,$0.47,18.93
2017-08-31,7.77,$0.38,20.44
2017-05-31,7.5,$0.07,107.16
2017-02-28,6.84,$0.02,341.95
2016-11-30,6.16,$-0.04,0.0
2016-08-31,6.13,$-0.10,0.0
2016-05-31,5.52,$0.07,84.85
2016-02-29,5.49,$0.07,84.51
2015-11-30,7.41,$0.06,123.54
2015-08-31,6.87,$0.20,35.25
2015-05-31,7.5,$0.33,22.73
2015-02-28,9.05,$0.34,27.01
2014-11-30,10.3,$0.46,22.39
2014-08-31,9.14,$0.45,20.53
2014-05-31,9.38,$0.49,19.13
2014-02-28,9.91,$0.49,20.22
2013-11-30,7.66,$0.43,17.81
2013-08-31,6.58,$0.38,17.32
2013-05-31,4.74,$0.25,18.96
2013-02-28,5.74,$0.31,18.5
2012-11-30,4.59,$0.33,13.91
2012-08-31,4.52,$0.40,11.45
2012-05-31,5.5,$0.45,12.22
2012-02-29,6.8,$0.40,17.01
2011-11-30,5.92,$0.44,13.46
2011-08-31,7.26,$0.44,16.69
2011-05-31,7.06,$0.43,16.43
2011-02-28,7.11,$0.43,16.73
2010-11-30,6.17,$0.36,17.39
2010-08-31,4.31,$0.30,14.37
2010-05-31,4.77,$0.04,119.13
2010-02-28,3.85,$-0.16,0.0
2009-11-30,3.35,$-0.20,0.0
