Potbelly PE Ratio Historical Data,Potbelly PE Ratio Historical Data,Potbelly PE Ratio Historical Data,Potbelly PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.17,,7.0
2024-12-31,9.42,$1.31,7.19
2024-09-30,8.34,$1.25,6.67
2024-06-30,8.03,$1.18,6.81
2024-03-31,12.11,$0.12,100.92
2023-12-31,10.42,$0.16,65.13
2023-09-30,7.8,$0.16,48.75
2023-06-30,8.78,$0.42,20.9
2023-03-31,8.33,$0.37,22.51
2022-12-31,5.57,$0.14,39.79
2022-09-30,4.53,$-0.04,0.0
2022-06-30,5.65,$-0.45,0.0
2022-03-31,6.7,$-0.61,0.0
2021-12-31,5.58,$-0.89,0.0
2021-09-30,6.78,$-1.48,0.0
2021-06-30,7.9,$-1.94,0.0
2021-03-31,5.91,$-2.73,0.0
2020-12-31,4.4,$-2.73,0.0
2020-09-30,3.79,$-2.11,0.0
2020-06-30,2.28,$-1.65,0.0
2020-03-31,3.09,$-0.80,0.0
2019-12-31,4.22,$-1.00,0.0
2019-09-30,4.36,$-1.11,0.0
2019-06-30,5.09,$-1.09,0.0
2019-03-31,8.51,$-1.02,0.0
2018-12-31,8.05,$-0.35,0.0
2018-09-30,12.3,$-0.47,0.0
2018-06-30,12.95,$-0.40,0.0
2018-03-31,12.05,$-0.40,0.0
2017-12-31,12.3,$-0.28,0.0
2017-09-30,12.4,$0.09,137.78
2017-06-30,11.5,$0.17,67.65
2017-03-31,13.9,$0.31,44.84
2016-12-31,12.9,$0.32,40.31
2016-09-30,12.43,$0.29,42.86
2016-06-30,12.54,$0.27,46.44
2016-03-31,13.61,$0.22,61.86
2015-12-31,11.71,$0.20,58.55
2015-09-30,11.01,$0.17,64.76
2015-06-30,12.25,$0.18,68.06
2015-03-31,13.7,$0.17,80.59
2014-12-31,12.87,$0.14,91.93
2014-09-30,11.66,$-1.81,0.0
