Futu Holdings PE Ratio Historical Data,Futu Holdings PE Ratio Historical Data,Futu Holdings PE Ratio Historical Data,Futu Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,109.13,,26.75
2024-09-30,93.41,$4.08,22.89
2024-06-30,64.07,$3.87,16.55
2024-03-31,52.88,$3.78,13.99
2023-12-31,53.35,$3.91,13.64
2023-09-30,56.45,$3.97,14.22
2023-06-30,38.81,$3.65,10.63
2023-03-31,50.63,$3.20,15.82
2022-12-31,39.7,$2.61,15.21
2022-09-30,36.42,$2.16,16.86
2022-06-30,50.99,$1.98,25.75
2022-03-31,31.8,$1.86,17.09
2021-12-31,42.28,$2.40,17.62
2021-09-30,88.89,$2.47,35.99
2021-06-30,174.89,$2.36,74.11
2021-03-31,155.09,$2.15,72.14
2020-12-31,44.68,$1.28,34.9
2020-09-30,27.95,$0.84,33.27
2020-06-30,23.11,$0.47,49.18
2020-03-31,9.25,$0.29,31.89
2019-12-31,10.08,$0.20,50.39
