BigBear.ai Holdings PE Ratio Historical Data,BigBear.ai Holdings PE Ratio Historical Data,BigBear.ai Holdings PE Ratio Historical Data,BigBear.ai Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.0,,0.0
2024-09-30,1.46,$-0.91,0.0
2024-06-30,1.51,$-0.83,0.0
2024-03-31,2.05,$-0.90,0.0
2023-12-31,2.14,$-0.42,0.0
2023-09-30,1.51,$-0.51,0.0
2023-06-30,2.35,$-0.67,0.0
2023-03-31,2.44,$-1.00,0.0
2022-12-31,0.67,$-0.95,0.0
2022-09-30,1.57,$-1.74,0.0
2022-06-30,3.68,$-1.61,0.0
2022-03-31,8.24,$-1.16,0.0
