Corbus Pharmaceuticals Holdings PE Ratio Historical Data,Corbus Pharmaceuticals Holdings PE Ratio Historical Data,Corbus Pharmaceuticals Holdings PE Ratio Historical Data,Corbus Pharmaceuticals Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.0,,0.0
2024-12-31,11.8,$-2.88,0.0
2024-09-30,20.63,$-4.69,0.0
2024-06-30,45.25,$-5.81,0.0
2024-03-31,39.24,$-6.96,0.0
2023-12-31,6.04,$-10.37,0.0
2023-09-30,6.74,$-11.17,0.0
2023-06-30,7.84,$-11.00,0.0
2023-03-31,7.27,$-12.26,0.0
2022-12-31,3.32,$-10.42,0.0
2022-09-30,4.95,$-10.21,0.0
2022-06-30,7.57,$-8.71,0.0
2022-03-31,15.95,$-9.91,0.0
2021-12-31,18.47,$-11.71,0.0
2021-09-30,30.6,$-12.31,0.0
2021-06-30,54.9,$-24.62,0.0
2021-03-31,59.1,$-35.74,0.0
2020-12-31,37.5,$-44.45,0.0
2020-09-30,54.0,$-53.75,0.0
2020-06-30,251.7,$-50.45,0.0
2020-03-31,157.2,$-33.93,0.0
2019-12-31,163.8,$-33.93,0.0
2019-09-30,146.1,$-30.63,0.0
2019-06-30,207.9,$-28.83,0.0
2019-03-31,208.5,$-36.04,0.0
2018-12-31,175.2,$-29.43,0.0
2018-09-30,226.5,$-26.43,0.0
2018-06-30,151.5,$-22.82,0.0
2018-03-31,183.0,$-21.02,0.0
2017-12-31,213.0,$-19.52,0.0
2017-09-30,214.5,$-18.92,0.0
2017-06-30,189.0,$-18.32,0.0
2017-03-31,247.5,$-17.12,0.0
2016-12-31,253.5,$-14.71,0.0
2016-09-30,203.7,$-11.11,0.0
2016-06-30,89.7,$-9.31,0.0
2016-03-31,54.3,$-9.01,0.0
2015-12-31,49.5,$-8.41,0.0
2015-09-30,47.1,$-8.41,0.0
