Aquestive Therapeutics PE Ratio Historical Data,Aquestive Therapeutics PE Ratio Historical Data,Aquestive Therapeutics PE Ratio Historical Data,Aquestive Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.11,,0.0
2024-12-31,3.56,$-0.52,0.0
2024-09-30,4.98,$-0.45,0.0
2024-06-30,2.6,$-0.35,0.0
2024-03-31,4.26,$-0.42,0.0
2023-12-31,2.02,$-0.14,0.0
2023-09-30,1.53,$-0.25,0.0
2023-06-30,1.65,$-0.45,0.0
2023-03-31,1.14,$-0.71,0.0
2022-12-31,0.9,$-1.14,0.0
2022-09-30,1.17,$-1.63,0.0
2022-06-30,0.64,$-1.77,0.0
2022-03-31,2.61,$-1.74,0.0
2021-12-31,3.89,$-1.83,0.0
2021-09-30,4.36,$-1.71,0.0
2021-06-30,3.97,$-1.83,0.0
2021-03-31,5.2,$-1.57,0.0
2020-12-31,5.35,$-1.65,0.0
2020-09-30,4.86,$-1.53,0.0
2020-06-30,4.86,$-1.78,0.0
2020-03-31,2.19,$-2.53,0.0
2019-12-31,5.82,$-2.63,0.0
2019-09-30,3.18,$-2.71,0.0
2019-06-30,4.2,$-2.61,0.0
