Portage Biotech PE Ratio Historical Data,Portage Biotech PE Ratio Historical Data,Portage Biotech PE Ratio Historical Data,Portage Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.35,,0.0
2024-09-30,6.65,$-41.65,0.0
2024-06-30,0.21,$-46.19,0.0
2024-03-31,0.56,$-51.21,0.0
2023-12-31,1.82,$-166.80,0.0
2023-09-30,2.09,$-138.00,0.0
2023-06-30,3.5,$-133.40,0.0
2023-03-31,3.09,$-129.40,0.0
2022-12-31,5.29,$-23.60,0.0
2022-09-30,6.82,$-20.00,0.0
2022-06-30,6.98,$-23.20,0.0
2022-03-31,6.57,$-25.60,0.0
2021-12-31,10.73,$-14.60,0.0
2021-09-30,20.32,$-9.40,0.0
2021-06-30,20.96,$-5.00,0.0
2021-03-31,27.97,0,0.0
2020-12-31,14.0,0,0.0
