FiscalNote Holdings PE Ratio Historical Data,FiscalNote Holdings PE Ratio Historical Data,FiscalNote Holdings PE Ratio Historical Data,FiscalNote Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.99,,0.0
2024-09-30,1.28,$-0.22,0.0
2024-06-30,1.46,$-0.22,0.0
2024-03-31,1.33,$-0.36,0.0
2023-12-31,1.14,$-0.87,0.0
2023-09-30,2.08,$-0.80,0.0
2023-06-30,3.64,$-2.32,0.0
2023-03-31,2.23,$-5.15,0.0
2022-12-31,6.33,$-5.01,0.0
2022-09-30,6.37,$-4.69,0.0
2022-06-30,9.92,$-3.06,0.0
2022-03-31,9.93,0,0.0
2021-12-31,9.92,0,0.0
2021-09-30,9.79,0,0.0
