OppFi PE Ratio Historical Data,OppFi PE Ratio Historical Data,OppFi PE Ratio Historical Data,OppFi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.91,,21.09
2024-12-31,7.66,$0.47,16.3
2024-09-30,4.73,$0.16,29.56
2024-06-30,3.39,$0.08,42.38
2024-03-31,2.5,$0.06,41.67
2023-12-31,5.12,$-0.02,0.0
2023-09-30,2.52,$0.07,36.0
2023-06-30,2.04,$-0.10,0.0
2023-03-31,2.05,$-0.14,0.0
2022-12-31,2.05,$-0.08,0.0
2022-09-30,2.3,$0.98,2.35
2022-06-30,3.29,$2.08,1.58
2022-03-31,3.43,$1.98,1.73
2021-12-31,4.54,$1.90,2.39
2021-09-30,7.86,$1.06,7.42
