Equifax PE Ratio Historical Data,Equifax PE Ratio Historical Data,Equifax PE Ratio Historical Data,Equifax PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,243.45,,50.4
2024-12-31,254.85,$4.83,52.76
2024-09-30,293.41,$4.50,65.2
2024-06-30,241.78,$4.68,51.66
2024-03-31,266.33,$4.49,59.32
2023-12-31,245.83,$4.40,55.87
2023-09-30,181.76,$4.22,43.07
2023-06-30,233.03,$4.25,54.83
2023-03-31,200.51,$4.76,42.12
2022-12-31,191.76,$5.65,33.94
2022-09-30,168.79,$5.76,29.3
2022-06-30,179.6,$6.08,29.54
2022-03-31,232.5,$6.19,37.56
2021-12-31,286.58,$6.03,47.53
2021-09-30,247.7,$5.65,43.84
2021-06-30,233.78,$5.81,40.24
2021-03-31,176.51,$4.85,36.39
2020-12-31,187.5,$4.13,45.4
2020-09-30,152.21,$3.59,42.4
2020-06-30,166.34,$2.43,68.45
2020-03-31,115.29,$2.20,52.41
2019-12-31,134.9,$-3.29,0.0
2019-09-30,135.04,$-3.15,0.0
2019-06-30,129.48,$-3.49,0.0
2019-03-31,113.09,$-2.85,0.0
2018-12-31,88.56,$2.47,35.86
2018-09-30,123.69,$3.68,33.61
2018-06-30,118.18,$4.15,28.48
2018-03-31,110.9,$4.32,25.67
2017-12-31,110.66,$4.83,22.91
2017-09-30,99.11,$4.42,22.42
2017-06-30,128.15,$4.72,27.15
2017-03-31,127.15,$4.44,28.64
2016-12-31,109.62,$4.03,27.2
2016-09-30,124.44,$3.95,31.5
2016-06-30,118.43,$3.84,30.84
2016-03-31,105.13,$3.68,28.57
2015-12-31,102.13,$3.56,28.69
2015-09-30,88.88,$3.43,25.91
2015-06-30,88.56,$3.20,27.67
2015-03-31,84.58,$3.03,27.91
2014-12-31,73.32,$2.97,24.69
2014-09-30,67.55,$2.79,24.21
2014-06-30,65.35,$2.75,23.76
2014-03-31,61.07,$2.73,22.37
2013-12-31,61.8,$2.88,21.46
2013-09-30,53.18,$2.64,20.15
2013-06-30,52.18,$2.57,20.3
2013-03-31,50.81,$2.46,20.66
2012-12-31,47.56,$2.22,21.42
2012-09-30,40.79,$2.45,16.65
2012-06-30,40.49,$2.35,17.23
2012-03-31,38.3,$2.01,19.06
2011-12-31,33.38,$1.89,17.66
2011-09-30,26.37,$1.78,14.81
2011-06-30,29.62,$1.85,16.01
2011-03-31,33.0,$2.13,15.49
2010-12-31,30.11,$2.11,14.27
2010-09-30,26.27,$2.08,12.63
2010-06-30,23.59,$1.94,12.16
2010-03-31,30.06,$1.85,16.25
2009-12-31,25.9,$1.84,14.08
