I-80 Gold PE Ratio Historical Data,I-80 Gold PE Ratio Historical Data,I-80 Gold PE Ratio Historical Data,I-80 Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.7,,0.0
2024-09-30,1.16,$-0.36,0.0
2024-06-30,1.08,$-0.27,0.0
2024-03-31,1.34,$-0.23,0.0
2023-12-31,1.76,$-0.23,0.0
2023-09-30,1.53,$-0.39,0.0
2023-06-30,2.25,$-0.43,0.0
2023-03-31,2.45,$-0.29,0.0
