Sealed Air PE Ratio Historical Data,Sealed Air PE Ratio Historical Data,Sealed Air PE Ratio Historical Data,Sealed Air PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.55,,16.33
2024-12-31,33.83,$1.81,18.69
2024-09-30,36.1,$2.72,13.27
2024-06-30,34.39,$2.48,13.87
2024-03-31,36.58,$2.49,14.69
2023-12-31,35.71,$2.36,15.13
2023-09-30,31.94,$2.15,14.86
2023-06-30,38.65,$2.68,14.42
2023-03-31,44.13,$2.77,15.93
2022-12-31,47.75,$3.34,14.29
2022-09-30,42.44,$3.89,10.91
2022-06-30,54.84,$3.68,14.9
2022-03-31,63.41,$3.62,17.52
2021-12-31,63.69,$3.33,19.13
2021-09-30,51.56,$3.04,16.96
2021-06-30,55.58,$3.19,17.42
2021-03-31,42.83,$3.12,13.73
2020-12-31,42.64,$3.23,13.2
2020-09-30,36.02,$2.99,12.05
2020-06-30,30.36,$2.57,11.81
2020-03-31,22.73,$2.14,10.62
2019-12-31,36.44,$1.69,21.56
2019-09-30,37.82,$2.30,16.44
2019-06-30,38.82,$2.36,16.45
2019-03-31,41.65,$2.86,14.56
2018-12-31,31.39,$1.28,24.52
2018-09-30,36.01,$-0.19,0.0
2018-06-30,37.92,$3.46,10.96
2018-03-31,38.09,$3.20,11.9
2017-12-31,43.71,$4.19,10.43
2017-09-30,37.75,$5.25,7.19
2017-06-30,39.41,$1.93,20.42
2017-03-31,38.24,$1.73,22.1
2016-12-31,39.65,$2.41,16.45
2016-09-30,39.93,$2.16,18.48
2016-06-30,39.92,$1.75,22.81
2016-03-31,41.55,$1.63,25.49
2015-12-31,38.49,$1.63,23.61
2015-09-30,40.34,$1.32,30.56
2015-06-30,44.1,$1.18,37.38
2015-03-31,39.0,$1.33,29.33
2014-12-31,36.22,$1.20,30.19
2014-09-30,29.68,$1.02,29.1
2014-06-30,28.97,$0.92,31.49
2014-03-31,27.76,$0.90,30.84
2013-12-31,28.65,$0.58,49.39
2013-09-30,22.78,$1.34,17.0
2013-06-30,19.98,$-4.87,0.0
2013-03-31,20.0,$-5.20,0.0
2012-12-31,14.44,$-5.24,0.0
2012-09-30,12.65,$-6.39,0.0
2012-06-30,12.52,$0.05,250.5
2012-03-31,15.54,$0.49,31.71
2011-12-31,13.76,$0.86,15.99
2011-09-30,13.25,$1.41,9.4
2011-06-30,18.74,$1.43,13.11
2011-03-31,20.89,$1.44,14.51
2010-12-31,19.85,$1.45,13.69
2010-09-30,17.43,$1.53,11.39
2010-06-30,15.2,$1.44,10.55
2010-03-31,16.15,$1.39,11.62
2009-12-31,16.65,$1.36,12.24
