Weibo PE Ratio Historical Data,Weibo PE Ratio Historical Data,Weibo PE Ratio Historical Data,Weibo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.17,,6.97
2024-09-30,10.08,$1.46,6.9
2024-06-30,7.68,$1.28,6.0
2024-03-31,8.26,$1.19,6.94
2023-12-31,9.95,$1.42,7.01
2023-09-30,11.4,$1.68,6.79
2023-06-30,11.92,$1.29,9.24
2023-03-31,17.14,$1.07,16.02
2022-12-31,16.34,$0.36,45.39
2022-09-30,14.61,$0.26,56.21
2022-06-30,19.77,$1.11,17.81
2022-03-31,20.95,$1.34,15.63
2021-12-31,26.48,$1.85,14.31
2021-09-30,40.59,$1.48,27.42
2021-06-30,44.97,$0.85,52.91
2021-03-31,43.13,$1.36,31.71
2020-12-31,35.03,$1.37,25.57
2020-09-30,31.14,$1.66,18.76
2020-06-30,28.72,$2.15,13.36
2020-03-31,28.3,$1.75,16.17
2019-12-31,39.61,$2.18,18.17
2019-09-30,38.25,$2.49,15.36
2019-06-30,37.22,$2.58,14.43
2019-03-31,52.98,$2.74,19.34
2018-12-31,49.94,$2.52,19.82
2018-09-30,62.5,$2.37,26.37
2018-06-30,75.86,$2.09,36.3
2018-03-31,102.17,$1.80,56.76
2017-12-31,88.42,$1.57,56.32
2017-09-30,84.56,$1.18,71.66
2017-06-30,56.81,$0.87,65.3
2017-03-31,44.6,$0.66,67.57
2016-12-31,34.7,$0.48,72.29
2016-09-30,42.85,$0.38,112.77
2016-06-30,24.28,$0.31,78.33
2016-03-31,15.34,$0.21,73.05
2015-12-31,16.67,$0.17,98.04
2015-09-30,9.99,$0.10,99.91
2015-06-30,14.65,$0.00,0.0
2015-03-31,11.02,$-0.10,0.0
