Redwire PE Ratio Historical Data,Redwire PE Ratio Historical Data,Redwire PE Ratio Historical Data,Redwire PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.29,,0.0
2024-12-31,16.46,$-0.96,0.0
2024-09-30,6.87,$-1.21,0.0
2024-06-30,7.17,$-0.98,0.0
2024-03-31,4.39,$-0.72,0.0
2023-12-31,2.85,$-0.73,0.0
2023-09-30,2.89,$-0.91,0.0
2023-06-30,2.55,$-0.93,0.0
2023-03-31,3.03,$-1.99,0.0
2022-12-31,1.98,$-2.09,0.0
2022-09-30,2.38,$-1.81,0.0
2022-06-30,3.04,$-1.65,0.0
2022-03-31,8.48,$-0.43,0.0
2021-12-31,6.75,$-0.15,0.0
