Formula Systems (1985) PE Ratio Historical Data,Formula Systems (1985) PE Ratio Historical Data,Formula Systems (1985) PE Ratio Historical Data,Formula Systems (1985) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,93.75,,19.45
2024-09-30,80.0,$4.82,16.6
2024-06-30,71.42,$4.31,16.57
2024-03-31,81.73,$4.22,19.37
2023-12-31,64.3,$4.13,15.57
2023-09-30,74.0,$4.12,17.96
2023-06-30,73.35,$4.21,17.42
2023-03-31,64.03,$5.22,12.27
2022-12-31,69.15,$5.26,13.15
2022-09-30,79.7,$5.25,15.18
2022-06-30,89.82,$5.01,17.93
2022-03-31,96.69,$3.75,25.78
2021-12-31,119.05,$3.50,34.02
2021-09-30,94.28,$3.27,28.83
2021-06-30,85.74,$3.24,26.46
2021-03-31,84.59,$3.11,27.2
2020-12-31,80.87,$3.02,26.78
2020-09-30,73.26,$2.90,25.26
2020-06-30,72.98,$2.71,26.93
2020-03-31,50.32,$2.57,19.58
2019-12-31,63.75,$2.44,26.13
2019-09-30,59.6,$2.50,23.84
2019-06-30,45.85,$2.32,19.76
2019-03-31,38.91,$2.24,17.37
2018-12-31,33.02,$2.14,15.43
2018-09-30,39.68,$1.78,22.29
2018-06-30,32.42,$1.69,19.18
2018-03-31,32.93,$1.18,27.91
2017-12-31,36.89,$0.71,51.95
2017-09-30,38.4,$0.77,49.87
2017-06-30,33.27,$0.79,42.11
2017-03-31,35.48,$1.24,28.61
2016-12-31,35.82,$1.50,23.88
2016-09-30,33.89,$1.39,24.38
2016-06-30,28.06,$1.43,19.62
2016-03-31,26.48,$1.13,23.43
2015-12-31,22.89,$1.28,17.88
2015-09-30,23.72,$1.59,14.92
2015-06-30,23.24,$1.60,14.52
2015-03-31,24.07,$1.65,14.59
2014-12-31,18.57,$5.22,3.56
2014-09-30,21.6,$9.00,2.4
2014-06-30,23.78,$8.93,2.66
2014-03-31,25.32,$9.07,2.79
2013-12-31,20.5,$5.38,3.81
2013-09-30,20.49,$1.53,13.39
2013-06-30,17.77,$1.50,11.84
2013-03-31,15.32,$1.44,10.64
2012-12-31,12.44,$1.70,7.32
2012-09-30,12.72,$1.47,8.65
2012-06-30,13.18,$3.30,3.99
2012-03-31,13.41,$3.37,3.98
2011-12-31,11.86,$3.11,3.81
2011-09-30,9.61,$3.17,3.03
2011-06-30,13.69,$1.37,10.0
2011-03-31,14.75,$1.30,11.34
2010-12-31,14.3,$1.35,10.59
2010-09-30,11.1,$1.58,7.02
2010-06-30,9.87,$1.51,6.53
2010-03-31,11.28,$1.50,7.52
2009-12-31,7.91,$1.41,5.61
