Gaia PE Ratio Historical Data,Gaia PE Ratio Historical Data,Gaia PE Ratio Historical Data,Gaia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.18,,0.0
2024-12-31,4.49,$-0.22,0.0
2024-09-30,4.87,$-0.27,0.0
2024-06-30,4.41,$-0.25,0.0
2024-03-31,3.08,$-0.24,0.0
2023-12-31,2.7,$-0.24,0.0
2023-09-30,2.72,$-0.20,0.0
2023-06-30,2.31,$-0.28,0.0
2023-03-31,2.78,$-0.20,0.0
2022-12-31,2.38,$-0.15,0.0
2022-09-30,2.43,$-0.01,0.0
2022-06-30,4.25,$0.13,32.69
2022-03-31,4.92,$0.16,30.75
2021-12-31,8.57,$0.18,47.61
2021-09-30,9.48,$0.10,94.8
2021-06-30,10.99,$0.39,28.18
2021-03-31,11.89,$0.23,51.7
2020-12-31,9.88,$0.02,494.0
2020-09-30,9.83,$-0.15,0.0
2020-06-30,8.38,$-0.70,0.0
2020-03-31,8.88,$-0.82,0.0
2019-12-31,7.99,$-1.01,0.0
2019-09-30,6.54,$-1.48,0.0
2019-06-30,7.58,$-1.83,0.0
2019-03-31,9.15,$-1.93,0.0
2018-12-31,10.36,$-1.94,0.0
2018-09-30,15.4,$-1.69,0.0
2018-06-30,20.25,$-1.45,0.0
2018-03-31,15.5,$-1.52,0.0
2017-12-31,12.4,$-1.54,0.0
2017-09-30,12.0,$-1.39,0.0
2017-06-30,11.2,$5.59,2.0
2017-03-31,9.95,$5.91,1.68
2016-12-31,8.65,$6.01,1.44
2016-09-30,7.2,$6.32,1.14
2016-06-30,7.74,$-0.68,0.0
2016-03-31,6.4,$-0.63,0.0
2015-12-31,6.24,$-0.48,0.0
2015-09-30,6.15,$-0.67,0.0
2015-06-30,6.54,$-0.43,0.0
2015-03-31,7.29,$-0.48,0.0
2014-12-31,7.13,$-0.41,0.0
2014-09-30,7.34,$-0.62,0.0
2014-06-30,7.68,$-0.49,0.0
2014-03-31,7.25,$-0.04,0.0
2013-12-31,6.62,$0.04,165.5
2013-09-30,5.01,$0.42,11.93
2013-06-30,4.46,$-0.08,0.0
2013-03-31,4.2,$-0.52,0.0
2012-12-31,3.16,$-0.56,0.0
2012-09-30,3.49,$-1.44,0.0
2012-06-30,3.9,$-1.00,0.0
2012-03-31,3.98,$-1.09,0.0
2011-12-31,3.24,$-1.08,0.0
2011-09-30,3.39,$-0.09,0.0
2011-06-30,4.97,0,0.0
2011-03-31,6.6,$0.16,41.25
2010-12-31,7.7,$0.19,40.53
2010-09-30,6.56,$0.18,36.46
2010-06-30,5.95,$0.16,37.21
2010-03-31,8.14,$0.14,58.15
2009-12-31,7.41,$0.02,370.74
