Silgan Holdings PE Ratio Historical Data,Silgan Holdings PE Ratio Historical Data,Silgan Holdings PE Ratio Historical Data,Silgan Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,50.35,,19.52
2024-12-31,52.05,$2.58,20.17
2024-09-30,52.33,$2.76,18.96
2024-06-30,42.03,$2.85,14.75
2024-03-31,48.22,$2.85,16.92
2023-12-31,44.74,$2.98,15.01
2023-09-30,42.44,$2.60,16.32
2023-06-30,45.98,$2.83,16.25
2023-03-31,52.42,$2.95,17.77
2022-12-31,50.46,$3.06,16.49
2022-09-30,40.79,$3.60,11.33
2022-06-30,39.98,$3.31,12.08
2022-03-31,44.54,$3.33,13.38
2021-12-31,41.13,$3.23,12.73
2021-09-30,36.7,$3.01,12.19
2021-06-30,39.58,$3.06,12.93
2021-03-31,39.95,$2.91,13.73
2020-12-31,35.13,$2.77,12.68
2020-09-30,34.71,$2.54,13.67
2020-06-30,30.48,$2.26,13.49
2020-03-31,27.21,$1.84,14.79
2019-12-31,29.01,$1.74,16.67
2019-09-30,27.94,$1.77,15.78
2019-06-30,28.36,$1.80,15.76
2019-03-31,27.36,$2.02,13.54
2018-12-31,21.72,$2.01,10.81
2018-09-30,25.47,$2.98,8.55
2018-06-30,24.49,$2.87,8.53
2018-03-31,25.33,$2.62,9.67
2017-12-31,26.64,$2.42,11.01
2017-09-30,26.59,$1.32,20.22
2017-06-30,28.63,$1.24,23.09
2017-03-31,26.66,$1.27,21.07
2016-12-31,22.92,$1.28,17.97
2016-09-30,22.58,$1.29,17.5
2016-06-30,22.89,$1.30,17.67
2016-03-31,23.57,$1.37,17.2
2015-12-31,23.73,$1.42,16.77
2015-09-30,22.92,$1.38,16.61
2015-06-30,23.17,$1.46,15.92
2015-03-31,25.45,$1.45,17.55
2014-12-31,23.4,$1.43,16.37
2014-09-30,20.46,$1.43,14.36
2014-06-30,22.06,$1.38,16.04
2014-03-31,21.43,$1.50,14.33
2013-12-31,20.71,$1.44,14.38
2013-09-30,20.21,$1.47,13.75
2013-06-30,20.14,$1.43,14.08
2013-03-31,20.21,$1.04,19.43
2012-12-31,17.71,$1.09,16.32
2012-09-30,18.49,$1.14,16.22
2012-06-30,18.09,$1.14,15.94
2012-03-31,18.68,$1.43,13.11
2011-12-31,16.29,$1.38,11.84
2011-09-30,15.44,$1.22,12.66
2011-06-30,17.17,$1.08,15.9
2011-03-31,15.94,$0.95,16.78
2010-12-31,14.92,$0.94,15.92
2010-09-30,13.17,$0.98,13.4
2010-06-30,11.75,$1.04,11.3
2010-03-31,12.42,$1.03,12.12
2009-12-31,11.89,$1.03,11.52
