Astec Industries PE Ratio Historical Data,Astec Industries PE Ratio Historical Data,Astec Industries PE Ratio Historical Data,Astec Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.73,,193.32
2024-12-31,33.6,$0.19,176.84
2024-09-30,31.83,$-0.08,0.0
2024-06-30,29.44,$-0.10,0.0
2024-03-31,43.22,$1.09,39.65
2023-12-31,36.67,$1.47,24.94
2023-09-30,46.24,$0.78,59.28
2023-06-30,44.49,$1.10,40.44
2023-03-31,40.25,$0.35,115.0
2022-12-31,39.56,$-0.00,0.0
2022-09-30,30.26,$-0.36,0.0
2022-06-30,39.45,$0.02,1972.67
2022-03-31,41.48,$0.58,71.52
2021-12-31,66.65,$0.78,85.45
2021-09-30,51.69,$1.85,27.94
2021-06-30,60.35,$1.51,39.97
2021-03-31,72.2,$1.53,47.19
2020-12-31,55.33,$2.06,26.86
2020-09-30,51.75,$0.58,89.22
2020-06-30,44.08,$0.64,68.88
2020-03-31,33.19,$1.26,26.34
2019-12-31,39.72,$0.98,40.53
2019-09-30,29.33,$-0.29,0.0
2019-06-30,30.59,$-0.12,0.0
2019-03-31,35.35,$-2.91,0.0
2018-12-31,28.19,$-2.67,0.0
2018-09-30,46.93,$-0.12,0.0
2018-06-30,55.54,$-0.54,0.0
2018-03-31,51.15,$1.84,27.8
2017-12-31,54.14,$1.62,33.42
2017-09-30,51.74,$1.68,30.8
2017-06-30,51.17,$2.10,24.37
2017-03-31,56.59,$2.27,24.93
2016-12-31,61.98,$2.39,25.93
2016-09-30,54.91,$2.02,27.18
2016-06-30,51.41,$1.82,28.25
2016-03-31,42.64,$1.54,27.69
2015-12-31,37.1,$1.42,26.13
2015-09-30,30.47,$1.63,18.69
2015-06-30,37.92,$1.61,23.55
2015-03-31,38.79,$1.73,22.42
2014-12-31,35.48,$1.49,23.81
2014-09-30,32.83,$1.48,22.18
2014-06-30,39.4,$1.68,23.45
2014-03-31,39.33,$1.53,25.7
2013-12-31,34.52,$1.69,20.42
2013-09-30,32.03,$1.80,17.8
2013-06-30,30.46,$1.82,16.74
2013-03-31,30.94,$1.79,17.28
2012-12-31,29.55,$1.75,16.88
2012-09-30,26.97,$1.63,16.55
2012-06-30,26.18,$1.67,15.68
2012-03-31,31.13,$1.83,17.01
2011-12-31,27.49,$1.74,15.8
2011-09-30,24.99,$1.65,15.14
2011-06-30,31.56,$1.63,19.36
2011-03-31,31.82,$1.47,21.65
2010-12-31,27.66,$1.42,19.48
2010-09-30,24.35,$0.47,51.8
2010-06-30,23.66,$0.30,78.88
2010-03-31,24.71,$0.19,130.06
2009-12-31,22.99,$0.13,176.83
