"Copa Holdings, S.A PE Ratio Historical Data","Copa Holdings, S.A PE Ratio Historical Data","Copa Holdings, S.A PE Ratio Historical Data","Copa Holdings, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,94.55,,6.25
2024-09-30,92.21,$15.12,6.1
2024-06-30,91.89,$16.34,5.62
2024-03-31,100.56,$13.90,7.23
2023-12-31,100.96,$12.78,7.9
2023-09-30,83.89,$10.46,8.02
2023-06-30,103.13,$8.67,11.9
2023-03-31,84.68,$11.24,7.53
2022-12-31,76.26,$8.64,8.83
2022-09-30,61.45,$9.10,6.75
2022-06-30,58.11,$6.36,9.14
2022-03-31,76.69,$4.01,19.13
2021-12-31,75.8,$0.94,80.63
2021-09-30,74.62,$-5.72,0.0
2021-06-30,69.07,$-8.69,0.0
2021-03-31,74.08,$-18.43,0.0
2020-12-31,70.82,$-14.08,0.0
2020-09-30,46.16,$-10.05,0.0
2020-06-30,46.36,$-4.82,0.0
2020-03-31,41.53,$5.46,7.61
2019-12-31,98.14,$5.82,16.86
2019-09-30,89.12,$2.09,42.64
2019-06-30,87.5,$1.00,87.5
2019-03-31,71.77,$0.98,73.24
2018-12-31,69.56,$2.09,33.28
2018-09-30,70.56,$8.14,8.67
2018-06-30,82.7,$9.23,8.96
2018-03-31,111.56,$9.54,11.69
2017-12-31,115.52,$8.73,13.23
2017-09-30,106.72,$8.61,12.39
2017-06-30,99.65,$7.91,12.6
2017-03-31,95.17,$7.71,12.34
2016-12-31,76.64,$8.04,9.53
2016-09-30,73.76,$5.82,12.67
2016-06-30,43.56,$4.21,10.35
2016-03-31,55.91,$4.38,12.76
2015-12-31,39.5,$4.21,9.38
2015-09-30,33.78,$4.98,6.78
2015-06-30,65.45,$6.33,10.34
2015-03-31,79.25,$7.53,10.52
2014-12-31,80.77,$8.37,9.65
2014-09-30,82.88,$10.13,8.18
2014-06-30,109.29,$11.48,9.52
2014-03-31,110.54,$10.50,10.53
2013-12-31,121.04,$9.65,12.54
2013-09-30,104.34,$9.03,11.55
2013-06-30,98.08,$8.71,11.26
2013-03-31,89.47,$7.75,11.55
2012-12-31,74.39,$7.35,10.12
2012-09-30,59.39,$7.76,7.65
2012-06-30,60.27,$6.83,8.82
2012-03-31,56.45,$7.04,8.02
2011-12-31,41.82,$7.02,5.96
2011-09-30,43.67,$6.77,6.45
2011-06-30,47.57,$6.63,7.18
2011-03-31,36.66,$6.12,5.99
2010-12-31,40.85,$4.82,8.48
2010-09-30,37.43,$4.32,8.66
2010-06-30,30.7,$3.86,7.95
2010-03-31,41.29,$4.70,8.79
2009-12-31,36.99,$5.51,6.71
