Harte Hanks PE Ratio Historical Data,Harte Hanks PE Ratio Historical Data,Harte Hanks PE Ratio Historical Data,Harte Hanks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.62,,0.0
2024-09-30,7.44,$-4.05,0.0
2024-06-30,8.12,$-3.99,0.0
2024-03-31,7.48,$-0.13,0.0
2023-12-31,6.79,$-0.22,0.0
2023-09-30,6.51,$2.75,2.37
2023-06-30,5.48,$3.50,1.57
2023-03-31,9.41,$3.94,2.39
2022-12-31,11.69,$4.44,2.63
2022-09-30,11.15,$1.94,5.75
2022-06-30,12.74,$1.63,7.82
2022-03-31,7.57,$2.38,3.18
2021-12-31,7.6,$1.71,4.44
2021-09-30,2.69,$1.62,1.66
2021-06-30,2.69,$0.83,3.24
2021-03-31,2.69,$-1.43,0.0
2020-12-31,2.69,$-0.48,0.0
2020-09-30,2.69,$-1.08,0.0
2020-06-30,3.04,$-1.78,0.0
2020-03-31,1.57,$-1.42,0.0
2019-12-31,3.58,$-4.27,0.0
2019-09-30,3.05,$-3.57,0.0
2019-06-30,2.2,$-4.22,0.0
2019-03-31,3.57,$-4.69,0.0
2018-12-31,2.42,$2.16,1.12
2018-09-30,7.13,$-2.78,0.0
2018-06-30,11.1,$-1.56,0.0
2018-03-31,9.16,$-0.86,0.0
2017-12-31,9.49,$-6.73,0.0
2017-09-30,10.7,$-21.20,0.0
2017-06-30,10.3,$-21.30,0.0
2017-03-31,14.0,$-21.60,0.0
2016-12-31,15.1,$-21.30,0.0
2016-09-30,16.2,$-1.70,0.0
2016-06-30,15.9,$-28.90,0.0
2016-03-31,25.3,$-28.90,0.0
2015-12-31,31.54,$-27.70,0.0
2015-09-30,33.58,$-26.50,0.0
2015-06-30,55.53,$2.20,25.24
2015-03-31,71.72,$3.80,18.87
2014-12-31,70.41,$3.80,18.53
2014-09-30,57.17,$3.30,17.33
2014-06-30,63.76,$1.00,63.76
2014-03-31,77.56,$1.40,55.4
2013-12-31,67.89,$2.20,30.86
2013-09-30,75.79,$2.80,27.07
2013-06-30,73.07,$5.50,13.28
2013-03-31,65.54,$-13.20,0.0
2012-12-31,49.64,$-13.20,0.0
2012-09-30,56.41,$-12.60,0.0
2012-06-30,73.47,$-12.10,0.0
2012-03-31,71.98,$6.80,10.59
2011-12-31,71.56,$6.90,10.37
2011-09-30,66.18,$7.00,9.45
2011-06-30,62.68,$7.30,8.59
2011-03-31,91.0,$7.90,11.52
2010-12-31,97.02,$8.40,11.55
2010-09-30,88.1,$8.10,10.88
2010-06-30,78.29,$8.10,9.67
2010-03-31,95.77,$8.00,11.97
2009-12-31,79.75,$7.40,10.78
