Gladstone Land PE Ratio Historical Data,Gladstone Land PE Ratio Historical Data,Gladstone Land PE Ratio Historical Data,Gladstone Land PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.67,,0.0
2024-12-31,10.85,$-0.29,0.0
2024-09-30,13.8,$-0.26,0.0
2024-06-30,13.45,$-0.18,0.0
2024-03-31,12.97,$0.06,216.18
2023-12-31,13.91,$-0.27,0.0
2023-09-30,13.56,$-0.29,0.0
2023-06-30,15.37,$-0.31,0.0
2023-03-31,15.6,$-0.47,0.0
2022-12-31,17.06,$-0.43,0.0
2022-09-30,16.71,$-0.33,0.0
2022-06-30,20.33,$-0.28,0.0
2022-03-31,33.25,$-0.29,0.0
2021-12-31,30.69,$-0.29,0.0
2021-09-30,20.59,$-0.35,0.0
2021-06-30,21.63,$-0.34,0.0
2021-03-31,16.36,$-0.32,0.0
2020-12-31,12.99,$-0.19,0.0
2020-09-30,13.2,$-0.12,0.0
2020-06-30,13.82,$-0.11,0.0
2020-03-31,10.23,$-0.05,0.0
2019-12-31,11.08,$-0.13,0.0
2019-09-30,10.05,$-0.18,0.0
2019-06-30,9.63,$0.20,48.14
2019-03-31,10.45,$0.13,80.38
2018-12-31,9.38,$0.14,66.99
2018-09-30,9.97,$0.20,49.87
2018-06-30,10.13,$-0.17,0.0
2018-03-31,9.56,$-0.04,0.0
2017-12-31,10.52,0,0.0
2017-09-30,10.56,$0.03,352.04
2017-06-30,8.96,$0.05,179.14
2017-03-31,8.42,$0.04,210.51
2016-12-31,8.44,$0.04,210.88
2016-09-30,7.85,$0.07,112.19
2016-06-30,8.11,$0.09,90.14
2016-03-31,7.3,$0.08,91.24
2015-12-31,6.18,$0.06,102.96
2015-09-30,6.47,$0.03,215.66
2015-06-30,7.2,$0.03,239.95
2015-03-31,8.3,$-0.02,0.0
2014-12-31,7.3,$-0.02,0.0
2014-09-30,8.12,$-0.23,0.0
2014-06-30,8.73,$-0.25,0.0
2014-03-31,9.43,$-0.20,0.0
2013-12-31,10.73,$-0.19,0.0
