PDS Biotechnology PE Ratio Historical Data,PDS Biotechnology PE Ratio Historical Data,PDS Biotechnology PE Ratio Historical Data,PDS Biotechnology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.36,,0.0
2024-09-30,3.82,$-1.16,0.0
2024-06-30,2.93,$-1.22,0.0
2024-03-31,3.96,$-1.36,0.0
2023-12-31,4.97,$-1.38,0.0
2023-09-30,5.05,$-1.71,0.0
2023-06-30,5.03,$-1.62,0.0
2023-03-31,6.15,$-1.45,0.0
2022-12-31,13.2,$-1.45,0.0
2022-09-30,2.97,$-1.01,0.0
2022-06-30,3.65,$-0.99,0.0
2022-03-31,6.19,$-0.82,0.0
2021-12-31,8.1,$-0.64,0.0
2021-09-30,14.9,$-0.57,0.0
2021-06-30,12.55,$-0.56,0.0
2021-03-31,4.55,$-0.72,0.0
2020-12-31,2.14,$-0.97,0.0
2020-09-30,2.33,$-1.65,0.0
2020-06-30,2.01,$-2.52,0.0
2020-03-31,0.73,$-3.08,0.0
2019-12-31,2.65,$-1.22,0.0
2019-09-30,3.38,$-2.38,0.0
2019-06-30,5.99,$-4.08,0.0
2019-03-31,7.4,$-11.53,0.0
2018-12-31,6.42,$-26.40,0.0
2018-09-30,16.4,$-33.40,0.0
2018-06-30,20.6,$-38.00,0.0
2018-03-31,23.6,$-38.60,0.0
2017-12-31,187.4,$-33.60,0.0
2017-09-30,214.6,$-31.20,0.0
2017-06-30,205.2,$-31.20,0.0
2017-03-31,182.2,$-29.00,0.0
2016-12-31,250.0,$-27.00,0.0
2016-09-30,208.2,$-26.40,0.0
