National Research PE Ratio Historical Data,National Research PE Ratio Historical Data,National Research PE Ratio Historical Data,National Research PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.99,,13.27
2024-09-30,22.86,$1.13,20.23
2024-06-30,22.83,$1.21,18.87
2024-03-31,39.19,$1.24,31.61
2023-12-31,39.03,$1.25,31.22
2023-09-30,43.64,$1.16,37.62
2023-06-30,41.76,$1.17,35.69
2023-03-31,41.65,$1.21,34.42
2022-12-31,35.6,$1.27,28.03
2022-09-30,37.87,$1.38,27.44
2022-06-30,36.21,$1.43,25.32
2022-03-31,37.27,$1.45,25.7
2021-12-31,38.79,$1.47,26.39
2021-09-30,39.28,$1.41,27.86
2021-06-30,42.64,$1.40,30.46
2021-03-31,43.28,$1.35,32.06
2020-12-31,39.51,$1.45,27.25
2020-09-30,45.48,$1.47,30.94
2020-06-30,53.8,$1.41,38.15
2020-03-31,42.03,$1.40,30.02
2019-12-31,60.66,$1.26,48.14
2019-09-30,52.96,$1.22,43.41
2019-06-30,52.63,$1.18,44.61
2019-03-31,35.16,$1.17,30.05
2018-12-31,34.57,$1.02,33.89
2018-09-30,34.37,$0.87,39.51
2018-06-30,33.16,$0.69,48.06
2018-03-31,29.25,$0.54,54.17
2017-12-31,37.3,$0.52,71.73
2017-09-30,37.7,$0.50,75.4
2017-06-30,26.9,$0.52,51.73
2017-03-31,19.7,$0.50,39.4
2016-12-31,19.0,$0.47,40.43
2016-09-30,16.29,$0.48,33.94
2016-06-30,13.7,$0.47,29.15
2016-03-31,15.55,$0.46,33.8
2015-12-31,16.04,$0.42,38.19
2015-09-30,11.94,$0.38,31.42
2015-06-30,14.21,$0.39,36.44
2015-03-31,14.4,$0.39,36.92
2014-12-31,13.99,$0.44,31.8
2014-09-30,13.01,$0.43,30.26
2014-06-30,13.99,$0.41,34.12
2014-03-31,16.59,$0.39,42.54
