Presidio Property Trust PE Ratio Historical Data,Presidio Property Trust PE Ratio Historical Data,Presidio Property Trust PE Ratio Historical Data,Presidio Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.6,,0.0
2024-09-30,0.72,$-2.81,0.0
2024-06-30,0.7,$-0.51,0.0
2024-03-31,1.22,$0.34,3.59
2023-12-31,1.03,$0.68,1.51
2023-09-30,0.8,$1.42,0.56
2023-06-30,0.9,$-0.46,0.0
2023-03-31,1.03,$-0.38,0.0
2022-12-31,0.95,$-0.57,0.0
2022-09-30,1.25,$-0.63,0.0
2022-06-30,3.19,$-0.65,0.0
2022-03-31,3.6,$-0.50,0.0
2021-12-31,3.68,$-0.46,0.0
2021-09-30,3.46,$-0.33,0.0
