Whitestone REIT PE Ratio Historical Data,Whitestone REIT PE Ratio Historical Data,Whitestone REIT PE Ratio Historical Data,Whitestone REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.5,,20.42
2024-12-31,14.17,$0.71,19.96
2024-09-30,13.41,$0.41,32.71
2024-06-30,13.07,$0.31,42.16
2024-03-31,12.24,$0.48,25.5
2023-12-31,11.87,$0.38,31.23
2023-09-30,9.19,$0.75,12.25
2023-06-30,9.15,$0.78,11.73
2023-03-31,8.56,$0.65,13.17
2022-12-31,8.86,$0.71,12.48
2022-09-30,7.67,$0.36,21.32
2022-06-30,9.64,$0.34,28.36
2022-03-31,11.77,$0.37,31.81
2021-12-31,8.91,$0.26,34.27
2021-09-30,8.5,$0.28,30.37
2021-06-30,7.09,$0.24,29.53
2021-03-31,8.24,$0.13,63.36
2020-12-31,6.68,$0.14,47.74
2020-09-30,4.95,$0.44,11.26
2020-06-30,5.91,$0.46,12.84
2020-03-31,4.95,$0.53,9.34
2019-12-31,10.64,$0.56,18.99
2019-09-30,10.53,$0.40,26.32
2019-06-30,9.49,$0.55,17.26
2019-03-31,8.78,$0.51,17.23
2018-12-31,8.83,$0.52,16.98
2018-09-30,9.8,$0.36,27.21
2018-06-30,8.62,$0.24,35.91
2018-03-31,6.99,$0.25,27.97
2017-12-31,9.55,$0.21,45.49
2017-09-30,8.42,$0.17,49.54
2017-06-30,7.79,$0.13,59.92
2017-03-31,8.54,$0.13,65.67
2016-12-31,8.75,$0.27,32.41
2016-09-30,8.27,$0.33,25.07
2016-06-30,8.82,$0.35,25.19
2016-03-31,7.2,$0.36,20.0
2015-12-31,6.66,$0.25,26.63
2015-09-30,6.24,$0.30,20.81
2015-06-30,6.94,$0.30,23.13
2015-03-31,8.29,$0.29,28.6
2014-12-31,7.7,$0.33,23.34
2014-09-30,7.02,$0.27,25.99
2014-06-30,7.36,$0.25,29.45
2014-03-31,6.99,$0.26,26.89
2013-12-31,6.3,$0.21,29.99
2013-09-30,6.84,$0.07,97.7
2013-06-30,7.18,$0.05,143.51
2013-03-31,6.77,$0.03,225.57
2012-12-31,6.12,$0.04,152.89
2012-09-30,5.62,$0.17,33.07
2012-06-30,5.75,$0.21,27.39
2012-03-31,5.31,$0.15,35.41
2011-12-31,4.74,$0.11,43.06
2011-09-30,4.32,$0.16,27.01
2011-06-30,4.81,$0.15,32.07
