BioAtla PE Ratio Historical Data,BioAtla PE Ratio Historical Data,BioAtla PE Ratio Historical Data,BioAtla PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.36,,0.0
2024-09-30,1.76,$-1.70,0.0
2024-06-30,1.37,$-2.18,0.0
2024-03-31,3.44,$-2.49,0.0
2023-12-31,2.46,$-2.59,0.0
2023-09-30,1.7,$-2.66,0.0
2023-06-30,3.0,$-2.65,0.0
2023-03-31,2.68,$-2.67,0.0
2022-12-31,8.25,$-2.74,0.0
2022-09-30,7.7,$-2.74,0.0
2022-06-30,2.85,$-2.73,0.0
2022-03-31,5.0,$-2.86,0.0
2021-12-31,19.63,$-2.77,0.0
2021-09-30,29.44,$-2.14,0.0
