ASP Isotopes PE Ratio Historical Data,ASP Isotopes PE Ratio Historical Data,ASP Isotopes PE Ratio Historical Data,ASP Isotopes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.24,,0.0
2024-09-30,2.78,$-0.61,0.0
2024-06-30,3.06,$-0.63,0.0
2024-03-31,4.13,$-0.53,0.0
2023-12-31,1.79,$-0.49,0.0
2023-09-30,0.95,$-0.45,0.0
