MRC Global PE Ratio Historical Data,MRC Global PE Ratio Historical Data,MRC Global PE Ratio Historical Data,MRC Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.29,,17.56
2024-12-31,12.78,$0.70,18.26
2024-09-30,12.74,$0.87,14.64
2024-06-30,12.91,$0.93,13.88
2024-03-31,12.57,$0.86,14.62
2023-12-31,11.01,$1.04,10.59
2023-09-30,10.25,$1.05,9.76
2023-06-30,10.07,$0.93,10.83
2023-03-31,9.72,$0.81,12.0
2022-12-31,11.58,$0.60,19.3
2022-09-30,7.19,$0.30,23.97
2022-06-30,9.96,$-0.12,0.0
2022-03-31,11.91,$-0.23,0.0
2021-12-31,6.88,$-0.46,0.0
2021-09-30,7.34,$-0.47,0.0
2021-06-30,9.4,$-0.30,0.0
2021-03-31,9.03,$-3.78,0.0
2020-12-31,6.63,$-3.63,0.0
2020-09-30,4.28,$-3.87,0.0
2020-06-30,5.91,$-3.65,0.0
2020-03-31,4.26,$0.06,71.0
2019-12-31,13.64,$0.16,85.25
2019-09-30,12.13,$0.57,21.28
2019-06-30,17.12,$0.59,29.02
2019-03-31,17.48,$0.55,31.78
2018-12-31,12.23,$0.54,22.65
2018-09-30,18.77,$0.80,23.46
2018-06-30,21.67,$0.57,38.02
2018-03-31,16.44,$0.40,41.1
2017-12-31,16.92,$0.27,62.67
2017-09-30,17.49,$-0.28,0.0
2017-06-30,16.52,$-0.73,0.0
2017-03-31,18.33,$-0.97,0.0
2016-12-31,20.26,$-1.11,0.0
2016-09-30,16.43,$-4.78,0.0
2016-06-30,14.21,$-4.20,0.0
2016-03-31,13.14,$-3.81,0.0
2015-12-31,12.9,$-3.39,0.0
2015-09-30,11.15,$0.83,13.43
2015-06-30,15.44,$1.22,12.66
2015-03-31,11.85,$1.45,8.17
2014-12-31,15.15,$1.40,10.82
2014-09-30,23.32,$1.33,17.53
2014-06-30,28.29,$1.22,23.19
2014-03-31,26.96,$1.27,21.23
2013-12-31,32.26,$1.49,21.65
2013-09-30,26.8,$1.20,22.33
2013-06-30,27.62,$1.36,20.31
2013-03-31,32.93,$1.25,26.34
