AGCO PE Ratio Historical Data,AGCO PE Ratio Historical Data,AGCO PE Ratio Historical Data,AGCO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,94.47,,0.0
2024-12-31,93.48,$-5.69,0.0
2024-09-30,97.56,$2.26,43.17
2024-06-30,97.26,$5.60,17.37
2024-03-31,119.23,$14.78,8.07
2023-12-31,117.37,$15.63,7.51
2023-09-30,114.06,$15.39,7.41
2023-06-30,126.44,$14.83,8.53
2023-03-31,124.41,$12.94,9.61
2022-12-31,127.4,$11.87,10.73
2022-09-30,88.17,$11.33,7.78
2022-06-30,90.3,$10.55,8.56
2022-03-31,128.51,$11.91,10.79
2021-12-31,101.94,$11.87,8.59
2021-09-30,107.49,$9.90,10.86
2021-06-30,114.22,$9.59,11.91
2021-03-31,122.48,$6.79,18.04
2020-12-31,87.78,$5.65,15.54
2020-09-30,63.13,$2.70,23.38
2020-06-30,47.04,$0.71,66.25
2020-03-31,39.94,$1.60,24.96
2019-12-31,65.14,$1.59,40.97
2019-09-30,63.7,$4.02,15.85
2019-06-30,65.28,$4.81,13.57
2019-03-31,58.4,$4.13,14.14
2018-12-31,46.63,$3.59,12.99
2018-09-30,50.79,$2.88,17.63
2018-06-30,50.6,$2.75,18.4
2018-03-31,53.92,$2.75,19.61
2017-12-31,59.26,$2.32,25.54
2017-09-30,61.07,$2.54,24.04
2017-06-30,55.67,$2.28,24.42
2017-03-31,49.61,$1.75,28.35
2016-12-31,47.59,$1.97,24.16
2016-09-30,40.47,$1.93,20.97
2016-06-30,38.57,$2.20,17.53
2016-03-31,40.57,$2.81,14.44
2015-12-31,36.95,$3.06,12.07
2015-09-30,37.85,$3.18,11.9
2015-06-30,45.99,$3.10,14.84
2015-03-31,38.5,$3.65,10.55
2014-12-31,36.44,$4.34,8.4
2014-09-30,36.56,$4.89,7.48
2014-06-30,45.11,$5.47,8.25
2014-03-31,44.17,$5.85,7.55
2013-12-31,47.3,$6.01,7.87
2013-09-30,48.2,$5.65,8.53
2013-06-30,39.97,$5.34,7.48
2013-03-31,41.43,$5.27,7.86
2012-12-31,38.97,$5.29,7.37
2012-09-30,37.67,$7.15,5.27
2012-06-30,36.28,$7.06,5.14
2012-03-31,37.46,$6.34,5.91
2011-12-31,34.09,$5.94,5.74
2011-09-30,27.43,$3.91,7.02
2011-06-30,39.16,$3.69,10.61
2011-03-31,43.62,$2.99,14.59
2010-12-31,40.2,$2.28,17.63
2010-09-30,30.95,$1.76,17.59
2010-06-30,21.4,$1.23,17.4
2010-03-31,28.46,$1.18,24.12
2009-12-31,25.66,$1.44,17.82
