Lantern Pharma PE Ratio Historical Data,Lantern Pharma PE Ratio Historical Data,Lantern Pharma PE Ratio Historical Data,Lantern Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.72,,0.0
2024-09-30,3.67,$-1.78,0.0
2024-06-30,4.67,$-1.65,0.0
2024-03-31,8.8,$-1.63,0.0
2023-12-31,4.28,$-1.48,0.0
2023-09-30,3.41,$-1.40,0.0
2023-06-30,5.64,$-1.32,0.0
2023-03-31,4.83,$-1.29,0.0
2022-12-31,6.04,$-1.31,0.0
2022-09-30,4.78,$-1.31,0.0
2022-06-30,5.71,$-1.46,0.0
2022-03-31,7.15,$-1.26,0.0
2021-12-31,7.98,$-1.12,0.0
2021-09-30,11.18,$-1.28,0.0
2021-06-30,14.6,$-1.19,0.0
2021-03-31,18.14,$-1.29,0.0
