Tuya PE Ratio Historical Data,Tuya PE Ratio Historical Data,Tuya PE Ratio Historical Data,Tuya PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.57,,0.0
2024-09-30,1.65,$-0.03,0.0
2024-06-30,1.71,$-0.03,0.0
2024-03-31,1.75,$-0.08,0.0
2023-12-31,2.3,$-0.11,0.0
2023-09-30,1.55,$-0.13,0.0
2023-06-30,1.89,$-0.18,0.0
2023-03-31,1.89,$-0.21,0.0
2022-12-31,1.91,$-0.27,0.0
2022-09-30,0.93,$-0.32,0.0
2022-06-30,2.62,$-0.35,0.0
2022-03-31,2.96,$-0.35,0.0
2021-12-31,6.25,$-0.40,0.0
