Frequency Electronics PE Ratio Historical Data,Frequency Electronics PE Ratio Historical Data,Frequency Electronics PE Ratio Historical Data,Frequency Electronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.14,,20.9
2024-10-31,12.62,$0.82,15.39
2024-07-31,12.57,$0.62,20.27
2024-04-30,8.87,$0.59,15.04
2024-01-31,9.44,$0.34,27.78
2023-10-31,6.89,$0.30,22.98
2023-07-31,6.39,$-0.03,0.0
2023-04-30,6.04,$-0.58,0.0
2023-01-31,5.54,$-1.35,0.0
2022-10-31,4.09,$-1.40,0.0
2022-07-31,5.24,$-1.10,0.0
2022-04-30,6.44,$-0.94,0.0
2022-01-31,7.22,$-0.05,0.0
2021-10-31,7.93,$-0.06,0.0
2021-07-31,7.96,$-0.07,0.0
2021-04-30,8.53,$0.07,121.82
2021-01-31,8.51,$-0.40,0.0
2020-10-31,7.26,$-0.48,0.0
2020-07-31,8.31,$-1.06,0.0
2020-04-30,7.97,$-1.10,0.0
2020-01-31,7.34,$-1.04,0.0
2019-10-31,9.37,$-0.91,0.0
2019-07-31,9.26,$-0.36,0.0
2019-04-30,9.57,$-0.29,0.0
2019-01-31,10.51,$-0.03,0.0
2018-10-31,8.81,$-1.17,0.0
2018-07-31,6.59,$-1.35,0.0
2018-04-30,6.99,$-1.28,0.0
2018-01-31,7.54,$-1.28,0.0
2017-10-31,7.37,$-0.06,0.0
2017-07-31,6.86,$-0.01,0.0
2017-04-30,8.34,$-0.16,0.0
2017-01-31,8.8,$-0.17,0.0
2016-10-31,7.29,$-0.18,0.0
2016-07-31,8.51,$-0.07,0.0
2016-04-30,8.04,$0.11,73.12
2016-01-31,7.05,$0.11,64.09
2015-10-31,8.67,$0.18,48.17
2015-07-31,8.87,$0.34,26.1
2015-04-30,10.51,$0.32,32.85
2015-01-31,9.06,$0.42,21.56
2014-10-31,9.11,$0.46,19.8
2014-07-31,9.08,$0.47,19.33
2014-04-30,8.42,$0.47,17.91
2014-01-31,9.6,$0.37,25.94
2013-10-31,8.82,$0.41,21.51
2013-07-31,8.44,$0.42,20.1
2013-04-30,7.96,$0.43,18.5
2013-01-31,7.29,$0.93,7.84
2012-10-31,6.77,$0.88,7.7
2012-07-31,6.92,$0.80,8.65
2012-04-30,5.89,$0.87,6.77
2012-01-31,6.64,$0.93,7.14
2011-10-31,6.41,$0.86,7.45
2011-07-31,8.11,$0.81,10.02
2011-04-30,7.97,$0.71,11.22
2011-01-31,5.47,$0.18,30.4
2010-10-31,4.66,$0.37,12.59
2010-07-31,3.95,$0.31,12.75
2010-04-30,4.29,$0.33,13.01
2010-01-31,3.91,$-0.86,0.0
2009-10-31,3.41,$-1.10,0.0
