Community West Bancshares PE Ratio Historical Data,Community West Bancshares PE Ratio Historical Data,Community West Bancshares PE Ratio Historical Data,Community West Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.25,,27.65
2024-09-30,19.14,$0.66,29.01
2024-06-30,18.27,$1.02,17.92
2024-03-31,19.51,$1.89,10.32
2023-12-31,21.79,$2.17,10.04
2023-09-30,13.65,$2.32,5.88
2023-06-30,14.84,$2.33,6.37
2023-03-31,19.59,$2.35,8.34
2022-12-31,20.07,$2.27,8.84
2022-09-30,16.67,$2.19,7.61
2022-06-30,13.55,$2.18,6.22
2022-03-31,21.68,$2.22,9.77
2021-12-31,19.19,$2.31,8.31
2021-09-30,19.75,$2.31,8.55
2021-06-30,18.41,$2.12,8.69
2021-03-31,16.72,$1.70,9.83
2020-12-31,13.43,$1.62,8.29
2020-09-30,11.05,$1.39,7.95
2020-06-30,13.66,$1.46,9.35
2020-03-31,11.49,$1.73,6.64
2019-12-31,18.98,$1.59,11.94
2019-09-30,17.73,$1.63,10.88
2019-06-30,18.61,$1.63,11.42
2019-03-31,16.85,$1.54,10.94
2018-12-31,16.18,$1.54,10.51
2018-09-30,18.45,$1.18,15.64
2018-06-30,18.0,$1.12,16.07
2018-03-31,16.58,$1.16,14.29
2017-12-31,17.05,$1.13,15.08
2017-09-30,18.78,$1.32,14.23
2017-06-30,18.61,$1.24,15.01
2017-03-31,17.17,$1.39,12.35
2016-12-31,16.67,$1.35,12.35
2016-09-30,13.19,$1.40,9.42
2016-06-30,11.6,$1.35,8.59
2016-03-31,9.18,$1.08,8.5
2015-12-31,9.86,$0.99,9.96
2015-09-30,9.87,$0.51,19.35
2015-06-30,9.6,$0.49,19.58
2015-03-31,8.86,$0.45,19.68
2014-12-31,8.94,$0.47,19.02
2014-09-30,9.22,$0.88,10.48
2014-06-30,10.47,$0.93,11.26
2014-03-31,9.16,$0.81,11.31
2013-12-31,8.92,$0.75,11.89
2013-09-30,8.01,$0.72,11.12
2013-06-30,7.91,$0.71,11.15
2013-03-31,6.73,$0.76,8.86
2012-12-31,6.02,$0.75,8.03
2012-09-30,6.27,$0.76,8.26
2012-06-30,5.32,$0.64,8.32
2012-03-31,5.59,$0.65,8.61
2011-12-31,4.19,$0.64,6.55
2011-09-30,4.32,$0.53,8.15
2011-06-30,5.06,$0.48,10.55
2011-03-31,4.75,$0.34,13.96
2010-12-31,4.34,$0.31,14.01
2010-09-30,4.52,$0.31,14.59
2010-06-30,4.82,$0.26,18.55
2010-03-31,4.24,$0.26,16.32
2009-12-31,4.28,$0.29,14.77
