NAPCO Security Technologies PE Ratio Historical Data,NAPCO Security Technologies PE Ratio Historical Data,NAPCO Security Technologies PE Ratio Historical Data,NAPCO Security Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.24,,18.65
2024-12-31,35.56,$1.30,27.35
2024-09-30,40.33,$1.36,29.65
2024-06-30,51.61,$1.34,38.51
2024-03-31,39.82,$1.26,31.6
2023-12-31,33.88,$1.19,28.47
2023-09-30,21.95,$1.08,20.33
2023-06-30,34.08,$0.97,35.13
2023-03-31,36.89,$0.89,41.45
2022-12-31,26.98,$0.68,39.67
2022-09-30,28.55,$0.48,59.48
2022-06-30,20.21,$0.52,38.87
2022-03-31,20.15,$0.46,44.27
2021-12-31,24.53,$0.50,49.56
2021-09-30,21.15,$0.55,38.45
2021-06-30,17.85,$0.41,44.08
2021-03-31,17.1,$0.22,77.71
2020-12-31,12.87,$0.20,64.35
2020-09-30,11.54,$0.21,54.93
2020-06-30,11.48,$0.23,49.92
2020-03-31,7.45,$0.41,18.16
2019-12-31,14.43,$0.40,36.52
2019-09-30,12.53,$0.38,33.4
2019-06-30,14.57,$0.33,44.15
2019-03-31,10.18,$0.30,33.94
2018-12-31,7.73,$0.27,29.17
2018-09-30,7.34,$0.23,32.62
2018-06-30,7.19,$0.21,34.24
2018-03-31,5.74,$0.20,29.45
2017-12-31,4.3,$0.17,25.27
2017-09-30,4.76,$0.16,29.76
2017-06-30,4.61,$0.15,30.76
2017-03-31,5.01,$0.16,32.3
2016-12-31,4.17,$0.16,26.08
2016-09-30,3.53,$0.16,22.06
2016-06-30,3.12,$0.16,20.14
2016-03-31,3.07,$0.16,19.79
2015-12-31,2.9,$0.14,21.45
2015-09-30,2.97,$0.14,22.0
2015-06-30,2.81,$0.13,21.64
2015-03-31,2.84,$0.10,28.42
2014-12-31,2.31,$0.11,21.97
2014-09-30,2.31,$0.09,25.63
2014-06-30,2.67,$0.09,29.62
2014-03-31,3.25,$0.12,28.3
2013-12-31,3.08,$0.11,29.36
2013-09-30,2.61,$0.10,26.07
2013-06-30,2.35,$0.09,27.6
2013-03-31,1.96,$0.05,43.63
2012-12-31,1.79,$0.05,35.73
2012-09-30,1.65,$0.06,30.08
2012-06-30,1.44,$0.06,24.05
2012-03-31,1.54,$0.05,30.73
2011-12-31,1.22,$0.06,20.29
2011-09-30,1.12,$0.06,20.44
2011-06-30,1.46,$0.03,48.6
2011-03-31,1.11,$-0.06,0.0
2010-12-31,0.86,$-0.13,0.0
2010-09-30,0.96,$-0.16,0.0
2010-06-30,0.88,$-0.18,0.0
2010-03-31,1.13,$-0.37,0.0
2009-12-31,0.82,$-0.45,0.0
