Office Properties Income Trust PE Ratio Historical Data,Office Properties Income Trust PE Ratio Historical Data,Office Properties Income Trust PE Ratio Historical Data,Office Properties Income Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.59,,0.0
2024-12-31,1.0,$-2.20,0.0
2024-09-30,2.17,$-0.45,0.0
2024-06-30,2.02,$0.28,7.22
2024-03-31,2.01,$-1.54,0.0
2023-12-31,7.2,$-1.44,0.0
2023-09-30,3.8,$-0.54,0.0
2023-06-30,6.92,$0.22,31.44
2023-03-31,10.66,$0.14,76.17
2022-12-31,11.19,$-0.13,0.0
2022-09-30,11.34,$0.09,125.98
2022-06-30,15.66,$-0.18,0.0
2022-03-31,19.74,$-1.23,0.0
2021-12-31,18.65,$-0.17,0.0
2021-09-30,18.64,$-0.55,0.0
2021-06-30,21.16,$-0.71,0.0
2021-03-31,19.48,$0.70,27.83
2020-12-31,15.73,$0.15,104.87
2020-09-30,13.96,$1.53,9.12
2020-06-30,17.11,$1.53,11.18
2020-03-31,17.61,$0.15,117.4
2019-12-31,20.44,$0.63,32.45
2019-09-30,19.16,$-3.03,0.0
2019-06-30,16.1,$-2.95,0.0
2019-03-31,16.6,$-0.40,0.0
2018-12-31,16.23,$-0.87,0.0
2018-09-30,26.67,$0.72,37.04
2018-06-30,36.37,$1.16,31.35
2018-03-31,30.3,$0.60,50.51
2017-12-31,40.16,$0.76,52.85
2017-09-30,39.72,$2.16,18.39
2017-06-30,37.84,$2.36,16.03
2017-03-31,42.43,$2.68,15.83
2016-12-31,37.81,$3.24,11.67
2016-09-30,43.96,$2.44,18.02
2016-06-30,43.99,$2.76,15.94
2016-03-31,33.25,$-9.04,0.0
2015-12-31,28.61,$-11.88,0.0
2015-09-30,27.89,$-10.96,0.0
2015-06-30,31.6,$-11.16,0.0
2015-03-31,38.18,$0.76,50.24
2014-12-31,37.73,$3.76,10.03
2014-09-30,35.26,$3.88,9.09
2014-06-30,40.16,$3.28,12.24
2014-03-31,39.19,$3.32,11.8
2013-12-31,37.97,$4.00,9.49
2013-09-30,35.94,$4.08,8.81
2013-06-30,37.26,$4.92,7.57
2013-03-31,37.39,$4.80,7.79
2012-12-31,34.25,$4.12,8.31
2012-09-30,32.81,$4.24,7.74
2012-06-30,31.14,$4.28,7.28
2012-03-31,32.61,$4.36,7.48
2011-12-31,29.97,$4.24,7.07
2011-09-30,28.07,$3.76,7.47
2011-06-30,34.73,$3.44,10.1
2011-03-31,33.99,$3.36,10.12
2010-12-31,33.39,$3.32,10.06
2010-09-30,32.78,$3.68,8.91
2010-06-30,30.87,$4.12,7.49
2010-03-31,30.99,$5.00,6.2
