Liberty Energy PE Ratio Historical Data,Liberty Energy PE Ratio Historical Data,Liberty Energy PE Ratio Historical Data,Liberty Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.57,,7.79
2024-12-31,19.89,$1.87,10.64
2024-09-30,19.0,$2.10,9.05
2024-06-30,20.72,$2.51,8.25
2024-03-31,20.55,$2.74,7.5
2023-12-31,17.93,$3.16,5.67
2023-09-30,18.24,$3.44,5.3
2023-06-30,13.13,$3.37,3.9
2023-03-31,12.53,$3.05,4.11
2022-12-31,15.61,$2.12,7.37
2022-09-30,12.33,$0.99,12.45
2022-06-30,12.4,$-0.01,0.0
2022-03-31,14.41,$-0.85,0.0
2021-12-31,9.43,$-1.03,0.0
2021-09-30,11.79,$-1.13,0.0
2021-06-30,13.77,$-1.32,0.0
2021-03-31,10.98,$-1.58,0.0
2020-12-31,10.02,$-1.35,0.0
2020-09-30,7.77,$-1.09,0.0
2020-06-30,5.33,$-0.53,0.0
2020-03-31,2.62,$0.34,7.69
2019-12-31,10.71,$0.58,18.47
2019-09-30,10.37,$1.00,10.37
2019-06-30,15.42,$1.34,11.51
2019-03-31,14.61,$1.73,8.45
2018-12-31,12.3,$1.81,6.79
