Black Stone Minerals PE Ratio Historical Data,Black Stone Minerals PE Ratio Historical Data,Black Stone Minerals PE Ratio Historical Data,Black Stone Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.34,,13.34
2024-12-31,14.6,$1.15,12.7
2024-09-30,14.73,$1.62,9.09
2024-06-30,14.9,$1.48,10.06
2024-03-31,14.85,$1.54,9.64
2023-12-31,14.38,$1.87,7.69
2023-09-30,15.11,$2.04,7.41
2023-06-30,13.61,$2.52,5.4
2023-03-31,12.98,$2.76,4.7
2022-12-31,13.55,$2.10,6.45
2022-09-30,12.26,$1.88,6.52
2022-06-30,10.43,$1.18,8.84
2022-03-31,9.98,$0.64,15.6
2021-12-31,7.49,$0.75,9.98
2021-09-30,8.55,$0.27,31.67
2021-06-30,7.45,$0.31,24.04
2021-03-31,5.94,$0.19,31.26
2020-12-31,4.47,$0.48,9.31
2020-09-30,4.02,$0.53,7.59
2020-06-30,4.17,$0.76,5.49
2020-03-31,2.96,$1.27,2.33
2019-12-31,7.82,$0.95,8.23
2019-09-30,8.5,$1.50,5.67
2019-06-30,9.25,$1.45,6.38
2019-03-31,10.31,$1.18,8.74
2018-12-31,8.87,$1.39,6.38
2018-09-30,10.2,$0.82,12.44
2018-06-30,10.17,$0.71,14.33
2018-03-31,8.95,$0.86,10.41
2017-12-31,9.54,$0.99,9.64
2017-09-30,9.05,$0.85,10.65
2017-06-30,8.07,$0.83,9.73
2017-03-31,8.31,$0.43,19.33
2016-12-31,9.31,$0.16,58.18
2016-09-30,8.69,$-0.12,0.0
2016-06-30,7.43,$0.01,0.0
2016-03-31,6.6,$-0.47,0.0
