Gold Royalty PE Ratio Historical Data,Gold Royalty PE Ratio Historical Data,Gold Royalty PE Ratio Historical Data,Gold Royalty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.34,,0.0
2024-09-30,1.36,$-0.13,0.0
2024-06-30,1.41,$-0.16,0.0
2024-03-31,1.88,$-0.17,0.0
2023-12-31,1.47,$-0.18,0.0
2023-09-30,1.28,$-0.05,0.0
2023-06-30,1.77,$-0.07,0.0
2023-03-31,2.16,$-0.08,0.0
2022-12-31,2.33,$-0.08,0.0
2022-09-30,2.54,$-0.14,0.0
2022-06-30,2.24,$-0.11,0.0
2022-03-31,4.09,$-0.15,0.0
2021-12-31,4.87,$-0.21,0.0
