Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,386.84,,31.15
2024-12-31,421.5,$12.42,33.94
2024-09-30,429.44,$12.12,35.43
2024-06-30,445.26,$11.81,37.7
2024-03-31,418.39,$11.55,36.22
2023-12-31,373.27,$11.06,33.75
2023-09-30,312.79,$10.33,30.28
2023-06-30,336.63,$9.69,34.74
2023-03-31,284.38,$9.23,30.81
2022-12-31,235.96,$9.00,26.22
2022-09-30,228.51,$9.28,24.62
2022-06-30,251.45,$9.64,26.08
2022-03-31,301.12,$9.58,31.43
2021-12-31,327.8,$9.39,34.91
2021-09-30,274.28,$8.94,30.68
2021-06-30,263.05,$8.05,32.68
2021-03-31,228.41,$7.34,31.12
2020-12-31,214.98,$6.71,32.04
2020-09-30,202.76,$6.19,32.76
2020-06-30,195.71,$5.75,34.04
2020-03-31,151.25,$6.00,25.21
2019-12-31,150.83,$5.74,26.28
2019-09-30,132.52,$5.31,24.96
2019-06-30,127.69,$5.07,25.19
2019-03-31,112.01,$4.50,24.89
2018-12-31,96.05,$4.31,22.29
2018-09-30,107.68,$2.41,44.68
2018-06-30,92.48,$2.11,43.83
2018-03-31,85.23,$1.80,47.35
2017-12-31,79.51,$1.46,54.46
2017-09-30,68.89,$2.94,23.43
2017-06-30,63.41,$2.70,23.49
2017-03-31,60.25,$2.26,26.66
2016-12-31,56.51,$2.12,26.65
2016-09-30,52.03,$2.08,25.02
2016-06-30,45.94,$2.05,22.41
2016-03-31,49.23,$1.26,39.07
2015-12-31,49.11,$1.40,35.08
2015-09-30,38.86,$1.49,26.08
2015-06-30,38.56,$1.46,26.41
2015-03-31,35.28,$2.41,14.64
2014-12-31,40.02,$2.48,16.14
2014-09-30,39.69,$2.55,15.57
2014-06-30,35.48,$2.63,13.49
2014-03-31,34.64,$2.67,12.97
2013-12-31,31.38,$2.71,11.58
2013-09-30,27.7,$2.69,10.3
2013-06-30,28.55,$2.60,10.98
2013-03-31,23.48,$1.95,12.04
2012-12-31,21.75,$1.83,11.88
2012-09-30,24.03,$1.85,12.99
2012-06-30,24.54,$2.00,12.27
2012-03-31,25.7,$2.75,9.35
2011-12-31,20.55,$2.76,7.45
2011-09-30,19.56,$2.75,7.11
2011-06-30,20.3,$2.69,7.55
2011-03-31,19.7,$2.51,7.85
2010-12-31,21.52,$2.35,9.16
2010-09-30,18.77,$2.32,8.09
2010-06-30,17.54,$2.10,8.35
2010-03-31,22.23,$1.93,11.52
2009-12-31,23.03,$1.81,12.72
