Landstar System PE Ratio Historical Data,Landstar System PE Ratio Historical Data,Landstar System PE Ratio Historical Data,Landstar System PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,146.63,,26.56
2024-12-31,171.86,$5.52,31.13
2024-09-30,188.49,$5.83,32.33
2024-06-30,183.75,$6.13,29.98
2024-03-31,191.65,$6.50,29.49
2023-12-31,190.2,$7.35,25.88
2023-09-30,173.45,$8.33,20.82
2023-06-30,188.43,$9.38,20.09
2023-03-31,175.14,$10.58,16.55
2022-12-31,156.96,$11.75,13.36
2022-09-30,138.85,$12.14,11.44
2022-06-30,139.59,$11.96,11.67
2022-03-31,144.56,$11.31,12.78
2021-12-31,169.3,$9.98,16.96
2021-09-30,149.04,$8.69,17.15
2021-06-30,149.0,$7.72,19.3
2021-03-31,155.45,$5.95,26.13
2020-12-31,124.91,$4.98,25.08
2020-09-30,116.21,$4.55,25.54
2020-06-30,103.83,$4.29,24.2
2020-03-31,88.46,$5.19,17.05
2019-12-31,103.09,$5.73,17.99
2019-09-30,101.76,$6.14,16.57
2019-06-30,97.45,$6.42,15.18
2019-03-31,98.71,$6.40,15.42
2018-12-31,86.2,$6.19,13.93
2018-09-30,109.75,$6.05,18.14
2018-06-30,98.09,$5.43,18.06
2018-03-31,98.36,$4.81,20.45
2017-12-31,91.98,$4.21,21.85
2017-09-30,87.96,$3.61,24.36
2017-06-30,75.46,$3.46,21.81
2017-03-31,75.43,$3.33,22.65
2016-12-31,75.04,$3.25,23.09
2016-09-30,59.82,$3.19,18.75
2016-06-30,60.25,$3.23,18.65
2016-03-31,56.63,$3.39,16.7
2015-12-31,51.33,$3.37,15.23
2015-09-30,55.48,$3.35,16.56
2015-06-30,58.39,$3.27,17.86
2015-03-31,57.83,$3.15,18.36
2014-12-31,62.3,$3.09,20.16
2014-09-30,61.95,$3.53,17.55
2014-06-30,54.86,$3.35,16.38
2014-03-31,50.71,$3.21,15.8
2013-12-31,49.15,$3.17,15.5
2013-09-30,47.6,$2.60,18.31
2013-06-30,43.79,$2.67,16.4
2013-03-31,48.54,$2.77,17.52
2012-12-31,44.6,$2.77,16.1
2012-09-30,39.74,$2.74,14.5
2012-06-30,43.42,$2.67,16.26
2012-03-31,48.41,$2.53,19.13
2011-12-31,40.15,$2.39,16.8
2011-09-30,33.1,$2.19,15.12
2011-06-30,38.84,$1.99,19.52
2011-03-31,38.13,$1.86,20.5
2010-12-31,34.14,$1.77,19.29
2010-09-30,32.16,$1.64,19.61
2010-06-30,32.43,$1.59,20.39
2010-03-31,34.88,$1.45,24.05
2009-12-31,32.17,$1.38,23.31
