Lulu's Fashion Lounge Holdings PE Ratio Historical Data,Lulu's Fashion Lounge Holdings PE Ratio Historical Data,Lulu's Fashion Lounge Holdings PE Ratio Historical Data,Lulu's Fashion Lounge Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.53,,0.0
2024-09-30,1.6,$-0.75,0.0
2024-06-30,1.85,$-0.69,0.0
2024-03-31,1.4,$-0.50,0.0
2023-12-31,1.86,$-0.49,0.0
2023-09-30,2.01,$-0.45,0.0
2023-06-30,2.53,$-0.33,0.0
2023-03-31,2.38,$-0.11,0.0
2022-12-31,2.51,$0.08,31.38
2022-09-30,4.66,$-4.47,0.0
