Sunoco LP PE Ratio Historical Data,Sunoco LP PE Ratio Historical Data,Sunoco LP PE Ratio Historical Data,Sunoco LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,57.86,,8.77
2024-12-31,51.44,$6.60,7.79
2024-09-30,52.8,$4.35,12.14
2024-06-30,54.67,$7.56,7.23
2024-03-31,57.38,$4.49,12.78
2023-12-31,56.25,$3.64,15.45
2023-09-30,45.17,$5.56,8.12
2023-06-30,39.46,$3.36,11.74
2023-03-31,39.01,$3.78,10.32
2022-12-31,37.65,$4.69,8.03
2022-09-30,33.4,$5.22,6.4
2022-06-30,31.28,$5.47,5.72
2022-03-31,33.64,$6.00,5.61
2021-12-31,33.02,$5.28,6.25
2021-09-30,29.57,$5.10,5.8
2021-06-30,29.23,$5.06,5.78
2021-03-31,24.12,$4.97,4.85
2020-12-31,21.26,$1.59,13.37
2020-09-30,17.46,$1.57,11.12
2020-06-30,15.85,$1.18,13.43
2020-03-31,10.49,$-0.03,0.0
2019-12-31,19.99,$2.82,7.09
2019-09-30,20.05,$0.96,20.88
2019-06-30,19.43,$1.51,12.87
2019-03-31,18.84,$1.66,11.35
2018-12-31,16.01,$-3.15,0.0
2018-09-30,16.87,$-2.04,0.0
2018-06-30,13.82,$-2.08,0.0
2018-03-31,13.71,$-5.19,0.0
2017-12-31,14.85,$-1.67,0.0
2017-09-30,15.83,$-7.99,0.0
2017-06-30,15.18,$-8.83,0.0
2017-03-31,11.66,$-5.77,0.0
2016-12-31,12.62,$-5.08,0.0
2016-09-30,13.2,$1.11,11.9
2016-06-30,13.28,$1.17,11.35
2016-03-31,14.34,$1.51,9.5
2015-12-31,16.71,$1.48,11.29
2015-09-30,13.96,$2.44,5.72
2015-06-30,18.37,$2.18,8.43
2015-03-31,20.55,$1.74,11.81
2014-12-31,19.68,$1.76,11.18
2014-09-30,21.49,$1.36,15.81
2014-06-30,18.17,$1.75,10.38
2014-03-31,13.46,$1.76,7.65
2013-12-31,12.5,$1.68,7.44
2013-09-30,11.21,$1.64,6.84
2013-06-30,10.75,$1.24,8.67
