Vicarious Surgical PE Ratio Historical Data,Vicarious Surgical PE Ratio Historical Data,Vicarious Surgical PE Ratio Historical Data,Vicarious Surgical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.0,,0.0
2024-09-30,5.68,$-10.29,0.0
2024-06-30,5.87,$-10.40,0.0
2024-03-31,0.3,$-11.41,0.0
2023-12-31,0.37,$-14.71,0.0
2023-09-30,0.59,$-15.62,0.0
2023-06-30,1.83,$-18.62,0.0
2023-03-31,2.27,$-15.32,0.0
2022-12-31,2.02,$0.90,2.24
2022-09-30,3.35,$21.32,0.16
2022-06-30,2.94,$6.01,0.49
2022-03-31,5.06,$6.31,0.8
2021-12-31,10.62,$-3.60,0.0
2021-09-30,14.96,$-21.32,0.0
2021-06-30,9.97,0,0.0
