U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,42.61,,11.24
2024-12-31,47.83,$3.79,12.62
2024-09-30,45.73,$3.27,13.98
2024-06-30,39.27,$3.15,12.47
2024-03-31,43.68,$3.02,14.46
2023-12-31,41.82,$3.28,12.75
2023-09-30,31.59,$3.36,9.4
2023-06-30,31.11,$3.61,8.62
2023-03-31,33.46,$3.76,8.9
2022-12-31,39.93,$3.71,10.76
2022-09-30,36.52,$4.21,8.67
2022-06-30,41.2,$4.35,9.47
2022-03-31,47.11,$4.64,10.15
2021-12-31,49.37,$5.10,9.68
2021-09-30,51.82,$4.98,10.41
2021-06-30,49.29,$4.67,10.56
2021-03-31,47.51,$3.80,12.5
2020-12-31,39.72,$3.07,12.94
2020-09-30,30.29,$3.02,10.03
2020-06-30,30.74,$3.18,9.67
2020-03-31,28.43,$3.86,7.37
2019-12-31,48.37,$4.14,11.68
2019-09-30,44.83,$4.34,10.33
2019-06-30,42.13,$4.25,9.91
2019-03-31,38.47,$4.18,9.2
2018-12-31,36.2,$4.14,8.74
2018-09-30,41.49,$4.01,10.35
2018-06-30,39.03,$3.83,10.19
2018-03-31,39.17,$3.66,10.7
2017-12-31,41.31,$3.52,11.74
2017-09-30,41.09,$3.37,12.19
2017-06-30,39.59,$3.33,11.89
2017-03-31,39.05,$3.31,11.8
2016-12-31,38.75,$3.25,11.92
2016-09-30,32.18,$3.23,9.96
2016-06-30,30.06,$3.20,9.39
2016-03-31,30.06,$3.17,9.48
2015-12-31,31.4,$3.17,9.9
2015-09-30,30.0,$3.16,9.49
2015-06-30,31.55,$3.13,10.08
2015-03-31,31.57,$3.11,10.15
2014-12-31,32.31,$3.08,10.49
2014-09-30,29.9,$3.05,9.8
2014-06-30,30.79,$3.03,10.16
2014-03-31,30.29,$3.01,10.06
2013-12-31,28.4,$3.01,9.43
2013-09-30,25.57,$2.97,8.61
2013-06-30,25.11,$2.95,8.51
2013-03-31,23.42,$2.90,8.07
2012-12-31,21.92,$2.84,7.72
2012-09-30,23.39,$2.81,8.32
2012-06-30,21.81,$2.71,8.05
2012-03-31,21.35,$2.60,8.21
2011-12-31,18.12,$2.45,7.4
2011-09-30,15.69,$2.25,6.98
2011-06-30,16.92,$2.06,8.21
2011-03-31,17.44,$1.91,9.13
2010-12-31,17.71,$1.73,10.24
2010-09-30,14.17,$1.54,9.2
2010-06-30,14.62,$1.39,10.52
2010-03-31,16.89,$1.06,15.93
2009-12-31,14.66,$0.96,15.27
