Precision Drilling PE Ratio Historical Data,Precision Drilling PE Ratio Historical Data,Precision Drilling PE Ratio Historical Data,Precision Drilling PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.46,,9.84
2024-12-31,61.07,$4.62,13.22
2024-09-30,61.65,$11.83,5.21
2024-06-30,70.34,$11.22,6.27
2024-03-31,67.29,$11.38,5.91
2023-12-31,54.29,$13.62,3.99
2023-09-30,67.12,$6.61,10.15
2023-06-30,48.75,$7.09,6.88
2023-03-31,51.42,$4.46,11.53
2022-12-31,76.7,$-2.23,0.0
2022-09-30,50.63,$-4.06,0.0
2022-06-30,64.02,$-7.89,0.0
2022-03-31,73.92,$-11.12,0.0
2021-12-31,35.43,$-10.68,0.0
2021-09-30,40.41,$-11.15,0.0
2021-06-30,41.7,$-10.48,0.0
2021-03-31,21.61,$-8.43,0.0
2020-12-31,16.49,$-6.50,0.0
2020-09-30,12.8,$-4.40,0.0
2020-06-30,15.18,$-3.00,0.0
2020-03-31,6.27,$-1.20,0.0
2019-12-31,28.0,$0.20,140.0
2019-09-30,22.8,$-10.00,0.0
2019-06-30,37.8,$-11.40,0.0
2019-03-31,47.8,$-13.00,0.0
2018-12-31,34.8,$-15.20,0.0
2018-09-30,69.2,$-7.60,0.0
2018-06-30,66.4,$-7.40,0.0
2018-03-31,55.4,$-6.80,0.0
2017-12-31,60.4,$-7.00,0.0
2017-09-30,62.4,$-6.00,0.0
2017-06-30,68.2,$-7.00,0.0
2017-03-31,94.4,$-8.20,0.0
2016-12-31,109.0,$-8.00,0.0
2016-09-30,83.6,$-20.20,0.0
2016-06-30,106.0,$-22.40,0.0
2016-03-31,84.0,$-21.00,0.0
2015-12-31,78.8,$-18.60,0.0
2015-09-30,73.46,$-11.00,0.0
2015-06-30,131.41,$-3.20,0.0
2015-03-31,122.97,$-2.00,0.0
2014-12-31,116.5,$3.00,38.83
2014-09-30,205.83,$13.40,15.36
2014-06-30,268.89,$12.20,22.04
2014-03-31,226.32,$12.60,17.96
2013-12-31,176.28,$12.60,13.99
2013-09-30,185.62,0,0.0
2013-06-30,158.5,$0.80,198.12
2013-03-31,170.04,$2.00,85.02
2012-12-31,151.63,$6.00,25.27
2012-09-30,142.7,$16.40,8.7
2012-06-30,124.14,$19.40,6.4
2012-03-31,182.56,$19.40,9.41
2011-12-31,186.75,$13.80,13.53
2011-09-30,150.89,$12.20,12.37
2011-06-30,261.38,$10.40,25.13
2011-03-31,246.45,$4.60,53.58
2010-12-31,176.38,$4.20,41.99
2010-09-30,124.68,$2.00,62.34
2010-06-30,120.86,$2.80,43.16
2010-03-31,139.61,$11.40,12.25
2009-12-31,131.96,$11.80,11.18
