ALT5 Sigma PE Ratio Historical Data,ALT5 Sigma PE Ratio Historical Data,ALT5 Sigma PE Ratio Historical Data,ALT5 Sigma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.72,,0.0
2024-09-30,1.77,$-0.34,0.0
2024-06-30,2.24,$-0.39,0.0
2024-03-31,2.63,$-0.36,0.0
2023-12-31,0.56,$3.13,0.18
2023-09-30,0.41,$3.13,0.13
2023-06-30,1.05,$2.52,0.42
2023-03-31,1.14,$5.55,0.21
2022-12-31,1.37,$2.77,0.49
2022-09-30,2.14,$-1.49,0.0
2022-06-30,2.58,$-1.17,0.0
2022-03-31,3.49,$-6.30,0.0
2021-12-31,4.09,$-6.43,0.0
2021-09-30,6.84,$-3.78,0.0
2021-06-30,7.8,$-3.87,0.0
2021-03-31,8.42,$-3.02,0.0
2020-12-31,4.89,$-4.59,0.0
2020-09-30,4.74,$-6.60,0.0
2020-06-30,3.2,$-7.29,0.0
2020-03-31,2.24,$-6.88,0.0
2019-12-31,2.96,$-6.75,0.0
2019-09-30,2.8,$-3.98,0.0
2019-06-30,4.39,$-3.66,0.0
2019-03-31,2.18,$-3.85,0.0
2018-12-31,2.22,$-3.70,0.0
2018-09-30,4.65,$-2.85,0.0
2018-06-30,3.45,$-1.45,0.0
2018-03-31,4.15,$1.10,3.77
2017-12-31,5.2,$3.75,1.39
2017-09-30,5.15,$3.75,1.37
2017-06-30,3.95,$4.10,0.96
2017-03-31,5.3,$0.80,6.63
2016-12-31,5.6,$-1.20,0.0
2016-09-30,4.91,$-1.90,0.0
2016-06-30,5.8,$-3.50,0.0
2016-03-31,5.9,$-1.25,0.0
2015-12-31,5.25,$-2.30,0.0
2015-09-30,5.8,$-2.10,0.0
2015-06-30,9.15,$-1.00,0.0
2015-03-31,10.25,$-1.00,0.0
2014-12-31,13.75,$1.30,10.58
2014-09-30,14.75,$2.85,5.18
2014-06-30,19.95,$3.40,5.87
2014-03-31,15.15,$3.55,4.27
2013-12-31,14.35,$2.85,5.04
2013-09-30,14.75,$-0.05,0.0
2013-06-30,12.88,$-2.00,0.0
2013-03-31,6.85,$-3.25,0.0
2012-12-31,6.7,$-3.45,0.0
2012-09-30,16.55,$-1.60,0.0
2012-06-30,20.9,$0.85,24.59
2012-03-31,23.2,$3.20,7.25
2011-12-31,24.99,$3.85,6.49
2011-09-30,22.4,$4.10,5.46
2011-06-30,23.0,$3.40,6.76
2011-03-31,19.55,$2.30,8.5
2010-12-31,17.0,$1.80,9.44
2010-09-30,15.55,$0.05,311.0
2010-06-30,13.63,$-0.30,0.0
2010-03-31,13.75,$-1.40,0.0
2009-12-31,11.5,$-3.65,0.0
