State Street PE Ratio Historical Data,State Street PE Ratio Historical Data,State Street PE Ratio Historical Data,State Street PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,90.52,,10.99
2024-12-31,98.15,$8.24,11.91
2024-09-30,87.7,$6.33,13.85
2024-06-30,72.67,$5.32,13.66
2024-03-31,75.94,$5.34,14.22
2023-12-31,75.4,$5.49,13.73
2023-09-30,64.6,$6.85,9.43
2023-06-30,69.88,$7.40,9.44
2023-03-31,71.66,$7.14,10.04
2022-12-31,72.84,$7.19,10.13
2022-09-30,56.64,$7.06,8.02
2022-06-30,56.83,$7.22,7.87
2022-03-31,79.58,$7.38,10.78
2021-12-31,84.4,$7.18,11.75
2021-09-30,76.42,$6.79,11.25
2021-06-30,73.72,$6.28,11.74
2021-03-31,74.8,$6.07,12.32
2020-12-31,64.4,$6.32,10.19
2020-09-30,52.13,$6.66,7.83
2020-06-30,55.35,$6.63,8.35
2020-03-31,46.02,$6.19,7.43
2019-12-31,67.67,$5.75,11.77
2019-09-30,50.31,$5.06,9.94
2019-06-30,47.23,$5.51,8.57
2019-03-31,54.99,$5.97,9.21
2018-12-31,52.32,$6.41,8.16
2018-09-30,69.5,$6.26,11.1
2018-06-30,76.8,$6.05,12.69
2018-03-31,81.9,$5.70,14.37
2017-12-31,79.83,$5.23,15.26
2017-09-30,77.8,$5.77,13.48
2017-06-30,72.75,$5.40,13.47
2017-03-31,64.27,$5.34,12.04
2016-12-31,62.45,$4.98,12.54
2016-09-30,55.68,$4.89,11.39
2016-06-30,42.88,$4.92,8.71
2016-03-31,46.23,$4.39,10.53
2015-12-31,52.12,$4.50,11.58
2015-09-30,52.52,$4.40,11.94
2015-06-30,59.87,$4.34,13.79
2015-03-31,56.92,$4.78,11.91
2014-12-31,60.52,$4.69,12.9
2014-09-30,56.54,$4.67,12.11
2014-06-30,51.45,$4.58,11.23
2014-03-31,52.96,$4.44,11.93
2013-12-31,55.68,$4.61,12.08
2013-09-30,49.7,$4.39,11.32
2013-06-30,49.1,$4.58,10.72
2013-03-31,44.32,$4.32,10.26
2012-12-31,35.1,$4.19,8.38
2012-09-30,31.17,$3.95,7.89
2012-06-30,32.97,$3.69,8.94
2012-03-31,33.42,$3.71,9.01
2011-12-31,29.45,$3.79,7.77
2011-09-30,23.4,$3.19,7.33
2011-06-30,32.62,$3.17,10.29
2011-03-31,32.39,$3.04,10.65
2010-12-31,33.26,$3.10,10.73
2010-09-30,27.03,$3.94,6.86
2010-06-30,24.26,$3.52,6.89
2010-03-31,32.38,$-4.46,0.0
2009-12-31,31.22,$-4.43,0.0
