Establishment Labs Holdings PE Ratio Historical Data,Establishment Labs Holdings PE Ratio Historical Data,Establishment Labs Holdings PE Ratio Historical Data,Establishment Labs Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.46,,0.0
2024-12-31,46.07,$-2.98,0.0
2024-09-30,43.27,$-2.58,0.0
2024-06-30,45.44,$-3.11,0.0
2024-03-31,50.9,$-3.14,0.0
2023-12-31,25.89,$-3.04,0.0
2023-09-30,49.07,$-2.80,0.0
2023-06-30,68.61,$-2.44,0.0
2023-03-31,67.74,$-3.31,0.0
2022-12-31,65.65,$-3.07,0.0
2022-09-30,54.61,$-3.11,0.0
2022-06-30,54.38,$-2.96,0.0
2022-03-31,67.39,$-1.66,0.0
2021-12-31,67.59,$-1.71,0.0
2021-09-30,71.58,$-1.35,0.0
2021-06-30,87.34,$-0.92,0.0
2021-03-31,62.53,$-1.15,0.0
2020-12-31,37.64,$-1.65,0.0
2020-09-30,18.53,$-1.69,0.0
2020-06-30,18.68,$-2.13,0.0
2020-03-31,14.45,$-2.12,0.0
2019-12-31,27.66,$-1.86,0.0
2019-09-30,18.91,$-2.11,0.0
2019-06-30,21.99,$-1.43,0.0
